X ,Y ,Z ,AO ,Res ,A ,B ,M ,N 
   61.0000,    0.0000,   -7.8750,   15.7500,  2.993751,    18, 10000,    11,     4,
   62.5000,    0.0000,   -9.0000,   18.0000,  3.281930,    18, 10000,    10,     2,
   50.5000,    0.0000,   -1.1250,    2.2500, 27.395193,    19, 10000,    18,    17,
   52.0000,    0.0000,   -2.2500,    4.5000,  2.511898,    19, 10000,    17,    15,
   53.5000,    0.0000,   -3.3750,    6.7500,  1.611304,    19, 10000,    16,    13,
   55.0000,    0.0000,   -4.5000,    9.0000,  0.569535,    19, 10000,    15,    11,
   56.5000,    0.0000,   -5.6250,   11.2500,  2.041001,    19, 10000,    14,     9,
   58.0000,    0.0000,   -6.7500,   13.5000,  0.151939,    19, 10000,    13,     7,
   59.5000,    0.0000,   -7.8750,   15.7500,  0.923226,    19, 10000,    12,     5,
   61.0000,    0.0000,   -9.0000,   18.0000,  3.743767,    19, 10000,    11,     3,
   62.5000,    0.0000,  -10.1250,   20.2500,  4.057040,    19, 10000,    10,     1,
   49.0000,    0.0000,   -1.1250,    2.2500,104.100525,    20, 10000,    19,    18,
   50.5000,    0.0000,   -2.2500,    4.5000, 15.490350,    20, 10000,    18,    16,
   52.0000,    0.0000,   -3.3750,    6.7500,  2.586298,    20, 10000,    17,    14,
   53.5000,    0.0000,   -4.5000,    9.0000,  2.794060,    20, 10000,    16,    12,
   55.0000,    0.0000,   -5.6250,   11.2500,  0.666379,    20, 10000,    15,    10,
   56.5000,    0.0000,   -6.7500,   13.5000,  3.442056,    20, 10000,    14,     8,
   58.0000,    0.0000,   -7.8750,   15.7500,  0.032376,    20, 10000,    13,     6,
   59.5000,    0.0000,   -9.0000,   18.0000,  2.347019,    20, 10000,    12,     4,
   61.0000,    0.0000,  -10.1250,   20.2500,  4.687110,    20, 10000,    11,     2,
   47.5000,    0.0000,   -1.1250,    2.2500, 35.087769,    21, 10000,    20,    19,
   49.0000,    0.0000,   -2.2500,    4.5000, 18.720661,    21, 10000,    19,    17,
   50.5000,    0.0000,   -3.3750,    6.7500,  6.851614,    21, 10000,    18,    15,
   52.0000,    0.0000,   -4.5000,    9.0000,  3.212800,    21, 10000,    17,    13,
   53.5000,    0.0000,   -5.6250,   11.2500,  2.925711,    21, 10000,    16,    11,
   55.0000,    0.0000,   -6.7500,   13.5000,  1.244358,    21, 10000,    15,     9,
   56.5000,    0.0000,   -7.8750,   15.7500,  2.243712,    21, 10000,    14,     7,
   58.0000,    0.0000,   -9.0000,   18.0000,  0.236115,    21, 10000,    13,     5,
   59.5000,    0.0000,  -10.1250,   20.2500,  2.147577,    21, 10000,    12,     3,
   61.0000,    0.0000,  -11.2500,   22.5000,  4.390391,    21, 10000,    11,     1,
   46.0000,    0.0000,   -1.1250,    2.2500, 15.685983,    22, 10000,    21,    20,
   47.5000,    0.0000,   -2.2500,    4.5000,  5.472684,    22, 10000,    20,    18,
   49.0000,    0.0000,   -3.3750,    6.7500,  4.128920,    22, 10000,    19,    16,
   50.5000,    0.0000,   -4.5000,    9.0000,  1.857608,    22, 10000,    18,    14,
   52.0000,    0.0000,   -5.6250,   11.2500,  0.885271,    22, 10000,    17,    12,
   53.5000,    0.0000,   -6.7500,   13.5000,  0.530031,    22, 10000,    16,    10,
   55.0000,    0.0000,   -7.8750,   15.7500,  0.753478,    22, 10000,    15,     8,
   56.5000,    0.0000,   -9.0000,   18.0000,  1.186531,    22, 10000,    14,     6,
   58.0000,    0.0000,  -10.1250,   20.2500,  0.879355,    22, 10000,    13,     4,
   59.5000,    0.0000,  -11.2500,   22.5000,  1.445792,    22, 10000,    12,     2,
   44.5000,    0.0000,   -1.1250,    2.2500,  7.313850,    23, 10000,    22,    21,
   46.0000,    0.0000,   -2.2500,    4.5000,  6.592824,    23, 10000,    21,    19,
   47.5000,    0.0000,   -3.3750,    6.7500,  7.296469,    23, 10000,    20,    17,
   49.0000,    0.0000,   -4.5000,    9.0000,  5.403444,    23, 10000,    19,    15,
   50.5000,    0.0000,   -5.6250,   11.2500,  3.956887,    23, 10000,    18,    13,
   52.0000,    0.0000,   -6.7500,   13.5000,  1.238518,    23, 10000,    17,    11,
   53.5000,    0.0000,   -7.8750,   15.7500,  1.162882,    23, 10000,    16,     9,
   55.0000,    0.0000,   -9.0000,   18.0000,  0.903864,    23, 10000,    15,     7,
   56.5000,    0.0000,  -10.1250,   20.2500,  1.462546,    23, 10000,    14,     5,
   58.0000,    0.0000,  -11.2500,   22.5000,  1.052921,    23, 10000,    13,     3,
   59.5000,    0.0000,  -12.3750,   24.7500,  1.791647,    23, 10000,    12,     1,
   43.0000,    0.0000,   -1.1250,    2.2500, 11.136904,    24, 10000,    23,    22,
   44.5000,    0.0000,   -2.2500,    4.5000,  0.105665,    24, 10000,    22,    20,
   46.0000,    0.0000,   -3.3750,    6.7500,  4.180621,    24, 10000,    21,    18,
   47.5000,    0.0000,   -4.5000,    9.0000,  5.960911,    24, 10000,    20,    16,
   49.0000,    0.0000,   -5.6250,   11.2500,  3.918531,    24, 10000,    19,    14,
   50.5000,    0.0000,   -6.7500,   13.5000,  2.677305,    24, 10000,    18,    12,
   52.0000,    0.0000,   -7.8750,   15.7500,  0.975132,    24, 10000,    17,    10,
   53.5000,    0.0000,   -9.0000,   18.0000,  0.508378,    24, 10000,    16,     8,
   55.0000,    0.0000,  -10.1250,   20.2500,  0.737876,    24, 10000,    15,     6,
   56.5000,    0.0000,  -11.2500,   22.5000,  1.537202,    24, 10000,    14,     4,
   58.0000,    0.0000,  -12.3750,   24.7500,  1.074166,    24, 10000,    13,     2,
   41.5000,    0.0000,   -1.1250,    2.2500,  6.199927,    25, 10000,    24,    23,
   43.0000,    0.0000,   -2.2500,    4.5000,  4.440170,    25, 10000,    23,    21,
   44.5000,    0.0000,   -3.3750,    6.7500,  0.241178,    25, 10000,    22,    19,
   46.0000,    0.0000,   -4.5000,    9.0000, 10.135953,    25, 10000,    21,    17,
   47.5000,    0.0000,   -5.6250,   11.2500, 11.589774,    25, 10000,    20,    15,
   49.0000,    0.0000,   -6.7500,   13.5000,  8.764850,    25, 10000,    19,    13,
   50.5000,    0.0000,   -7.8750,   15.7500,  4.858937,    25, 10000,    18,    11,
   52.0000,    0.0000,   -9.0000,   18.0000,  2.092774,    25, 10000,    17,     9,
   53.5000,    0.0000,  -10.1250,   20.2500,  2.327013,    25, 10000,    16,     7,
   55.0000,    0.0000,  -11.2500,   22.5000,  0.700211,    25, 10000,    15,     5,
   56.5000,    0.0000,  -12.3750,   24.7500,  2.503243,    25, 10000,    14,     3,
   58.0000,    0.0000,  -13.5000,   27.0000,  1.194897,    25, 10000,    13,     1,
   40.0000,    0.0000,   -1.1250,    2.2500, 16.598465,    26, 10000,    25,    24,
   41.5000,    0.0000,   -2.2500,    4.5000,  3.869620,    26, 10000,    24,    22,
   43.0000,    0.0000,   -3.3750,    6.7500,  2.018291,    26, 10000,    23,    20,
   44.5000,    0.0000,   -4.5000,    9.0000,  0.657109,    26, 10000,    22,    18,
   46.0000,    0.0000,   -5.6250,   11.2500, 12.155005,    26, 10000,    21,    16,
   47.5000,    0.0000,   -6.7500,   13.5000, 11.064734,    26, 10000,    20,    14,
   49.0000,    0.0000,   -7.8750,   15.7500,  8.445044,    26, 10000,    19,    12,
   50.5000,    0.0000,   -9.0000,   18.0000,  4.574890,    26, 10000,    18,    10,
   52.0000,    0.0000,  -10.1250,   20.2500,  2.446864,    26, 10000,    17,     8,
   53.5000,    0.0000,  -11.2500,   22.5000,  2.757370,    26, 10000,    16,     6,
   55.0000,    0.0000,  -12.3750,   24.7500,  1.198839,    26, 10000,    15,     4,
   56.5000,    0.0000,  -13.5000,   27.0000,  2.155318,    26, 10000,    14,     2,
   38.5000,    0.0000,   -1.1250,    2.2500, 21.390408,    27, 10000,    26,    25,
   40.0000,    0.0000,   -2.2500,    4.5000, 10.739672,    27, 10000,    25,    23,
   41.5000,    0.0000,   -3.3750,    6.7500,  0.083919,    27, 10000,    24,    21,
   43.0000,    0.0000,   -4.5000,    9.0000,  3.352968,    27, 10000,    23,    19,
   44.5000,    0.0000,   -5.6250,   11.2500,  2.034567,    27, 10000,    22,    17,
   46.0000,    0.0000,   -6.7500,   13.5000,  9.314506,    27, 10000,    21,    15,
   47.5000,    0.0000,   -7.8750,   15.7500, 10.364209,    27, 10000,    20,    13,
   49.0000,    0.0000,   -9.0000,   18.0000,  6.275853,    27, 10000,    19,    11,
   50.5000,    0.0000,  -10.1250,   20.2500,  4.450161,    27, 10000,    18,     9,
   52.0000,    0.0000,  -11.2500,   22.5000,  1.595548,    27, 10000,    17,     7,
   53.5000,    0.0000,  -12.3750,   24.7500,  2.373676,    27, 10000,    16,     5,
   55.0000,    0.0000,  -13.5000,   27.0000,  1.239984,    27, 10000,    15,     3,
   56.5000,    0.0000,  -14.6250,   29.2500,  2.225549,    27, 10000,    14,     1,
   37.0000,    0.0000,   -1.1250,    2.2500, 12.793725,    28, 10000,    27,    26,
   38.5000,    0.0000,   -2.2500,    4.5000,  8.419110,    28, 10000,    26,    24,
   40.0000,    0.0000,   -3.3750,    6.7500,  5.400432,    28, 10000,    25,    22,
   41.5000,    0.0000,   -4.5000,    9.0000,  0.177914,    28, 10000,    24,    20,
   43.0000,    0.0000,   -5.6250,   11.2500,  2.039937,    28, 10000,    23,    18,
   44.5000,    0.0000,   -6.7500,   13.5000,  1.687249,    28, 10000,    22,    16,
   46.0000,    0.0000,   -7.8750,   15.7500,  3.775630,    28, 10000,    21,    14,
   47.5000,    0.0000,   -9.0000,   18.0000,  4.100511,    28, 10000,    20,    12,
   49.0000,    0.0000,  -10.1250,   20.2500,  3.300724,    28, 10000,    19,    10,
   50.5000,    0.0000,  -11.2500,   22.5000,  2.244010,    28, 10000,    18,     8,
   52.0000,    0.0000,  -12.3750,   24.7500,  1.126340,    28, 10000,    17,     6,
   53.5000,    0.0000,  -13.5000,   27.0000,  0.092222,    28, 10000,    16,     4,
   55.0000,    0.0000,  -14.6250,   29.2500,  1.240291,    28, 10000,    15,     2,
   35.5000,    0.0000,   -1.1250,    2.2500,  2.160290,    29, 10000,    28,    27,
   37.0000,    0.0000,   -2.2500,    4.5000,  2.270184,    29, 10000,    27,    25,
   38.5000,    0.0000,   -3.3750,    6.7500,  2.818851,    29, 10000,    26,    23,
   40.0000,    0.0000,   -4.5000,    9.0000,  1.904176,    29, 10000,    25,    21,
   41.5000,    0.0000,   -5.6250,   11.2500,  0.016292,    29, 10000,    24,    19,
   43.0000,    0.0000,   -6.7500,   13.5000,  1.259963,    29, 10000,    23,    17,
   44.5000,    0.0000,   -7.8750,   15.7500,  0.709657,    29, 10000,    22,    15,
   46.0000,    0.0000,   -9.0000,   18.0000,  1.762954,    29, 10000,    21,    13,
   47.5000,    0.0000,  -10.1250,   20.2500,  1.941608,    29, 10000,    20,    11,
   49.0000,    0.0000,  -11.2500,   22.5000,  1.969873,    29, 10000,    19,     9,
   50.5000,    0.0000,  -12.3750,   24.7500,  1.463596,    29, 10000,    18,     7,
   52.0000,    0.0000,  -13.5000,   27.0000,  1.201029,    29, 10000,    17,     5,
   53.5000,    0.0000,  -14.6250,   29.2500,  1.057168,    29, 10000,    16,     3,
   55.0000,    0.0000,  -15.7500,   31.5000,  1.534257,    29, 10000,    15,     1,
   34.0000,    0.0000,   -1.1250,    2.2500,  0.635873,    30, 10000,    29,    28,
   35.5000,    0.0000,   -2.2500,    4.5000,  0.204566,    30, 10000,    28,    26,
   37.0000,    0.0000,   -3.3750,    6.7500,  5.316993,    30, 10000,    27,    24,
   38.5000,    0.0000,   -4.5000,    9.0000,  5.946307,    30, 10000,    26,    22,
   40.0000,    0.0000,   -5.6250,   11.2500,  3.439759,    30, 10000,    25,    20,
   41.5000,    0.0000,   -6.7500,   13.5000,  0.870077,    30, 10000,    24,    18,
   43.0000,    0.0000,   -7.8750,   15.7500,  2.713930,    30, 10000,    23,    16,
   44.5000,    0.0000,   -9.0000,   18.0000,  0.930160,    30, 10000,    22,    14,
   46.0000,    0.0000,  -10.1250,   20.2500,  3.190212,    30, 10000,    21,    12,
   47.5000,    0.0000,  -11.2500,   22.5000,  3.317516,    30, 10000,    20,    10,
   49.0000,    0.0000,  -12.3750,   24.7500,  2.928953,    30, 10000,    19,     8,
   50.5000,    0.0000,  -13.5000,   27.0000,  2.073311,    30, 10000,    18,     6,
   52.0000,    0.0000,  -14.6250,   29.2500,  1.406770,    30, 10000,    17,     4,
   53.5000,    0.0000,  -15.7500,   31.5000,  0.763966,    30, 10000,    16,     2,
   32.5000,    0.0000,   -1.1250,    2.2500,  7.284050,    31, 10000,    30,    29,
   34.0000,    0.0000,   -2.2500,    4.5000,  2.979521,    31, 10000,    29,    27,
   35.5000,    0.0000,   -3.3750,    6.7500,  0.630245,    31, 10000,    28,    25,
   37.0000,    0.0000,   -4.5000,    9.0000,  8.846704,    31, 10000,    27,    23,
   38.5000,    0.0000,   -5.6250,   11.2500,  8.690491,    31, 10000,    26,    21,
   40.0000,    0.0000,   -6.7500,   13.5000,  6.197593,    31, 10000,    25,    19,
   41.5000,    0.0000,   -7.8750,   15.7500,  2.301891,    31, 10000,    24,    17,
   43.0000,    0.0000,   -9.0000,   18.0000,  4.041356,    31, 10000,    23,    15,
   44.5000,    0.0000,  -10.1250,   20.2500,  1.725518,    31, 10000,    22,    13,
   46.0000,    0.0000,  -11.2500,   22.5000,  4.916158,    31, 10000,    21,    11,
   47.5000,    0.0000,  -12.3750,   24.7500,  5.495586,    31, 10000,    20,     9,
   49.0000,    0.0000,  -13.5000,   27.0000,  4.995545,    31, 10000,    19,     7,
   50.5000,    0.0000,  -14.6250,   29.2500,  2.637562,    31, 10000,    18,     5,
