X	Y	P
68.3550 -2.7900 50.3655
69.0525 -2.7900 103.9944
69.7500 -2.7900 99.8284
0.0000 -2.0925 142.8643
0.6975 -2.0925 103.2586
1.3950 -2.0925 73.4487
2.0925 -2.0925 58.1727
2.7900 -2.0925 89.4868
3.4875 -2.0925 113.2242
4.1850 -2.0925 111.2004
4.8825 -2.0925 109.2033
5.5800 -2.0925 101.7321
6.2775 -2.0925 94.4266
6.9750 -2.0925 97.5473
7.6725 -2.0925 105.7162
8.3700 -2.0925 106.9097
9.0675 -2.0925 102.1128
9.7650 -2.0925 100.9559
10.4625 -2.0925 105.2337
11.1600 -2.0925 107.0291
11.8575 -2.0925 95.4804
12.5550 -2.0925 83.9140
13.2525 -2.0925 90.1065
13.9500 -2.0925 97.2112
14.6475 -2.0925 92.3129
15.3450 -2.0925 83.8180
16.0425 -2.0925 84.4324
16.7400 -2.0925 91.0514
17.4375 -2.0925 100.0631
18.1350 -2.0925 112.2233
18.8325 -2.0925 117.5820
19.5300 -2.0925 104.8762
20.2275 -2.0925 93.5117
20.9250 -2.0925 92.8406
21.6225 -2.0925 92.1693
22.3200 -2.0925 89.0785
23.0175 -2.0925 85.8838
23.7150 -2.0925 84.3174
24.4125 -2.0925 83.1437
25.1100 -2.0925 94.3260
25.8075 -2.0925 112.4678
26.5050 -2.0925 124.7040
27.2025 -2.0925 130.9055
27.9000 -2.0925 129.7689
28.5975 -2.0925 112.7626
29.2950 -2.0925 97.9833
29.9925 -2.0925 94.4379
30.6900 -2.0925 90.9458
31.3875 -2.0925 94.9262
32.0850 -2.0925 98.9069
32.7825 -2.0925 96.3233
33.4800 -2.0925 92.6198
34.1775 -2.0925 94.2761
34.8750 -2.0925 98.2167
35.5725 -2.0925 99.6684
36.2700 -2.0925 99.0882
36.9675 -2.0925 98.7067
37.6650 -2.0925 98.5855
38.3625 -2.0925 98.9568
39.0600 -2.0925 100.9475
39.7575 -2.0925 103.0957
40.4550 -2.0925 106.7592
41.1525 -2.0925 110.4228
41.8500 -2.0925 103.9553
42.5475 -2.0925 96.7412
43.2450 -2.0925 91.3148
43.9425 -2.0925 86.4306
44.6400 -2.0925 91.3812
45.3375 -2.0925 102.2301
46.0350 -2.0925 103.6732
46.7325 -2.0925 94.5614
47.4300 -2.0925 92.4488
48.1275 -2.0925 105.0883
48.8250 -2.0925 116.2990
49.5225 -2.0925 120.5618
50.2200 -2.0925 124.3476
50.9175 -2.0925 103.5748
51.6150 -2.0925 82.8013
52.3125 -2.0925 84.1560
53.0100 -2.0925 88.9228
53.7075 -2.0925 92.5457
54.4050 -2.0925 95.7037
55.1025 -2.0925 98.8776
55.8000 -2.0925 102.0618
56.4975 -2.0925 102.7943
57.1950 -2.0925 100.0416
57.8925 -2.0925 98.5330
58.5900 -2.0925 100.5818
59.2875 -2.0925 102.5004
59.9850 -2.0925 103.1050
60.6825 -2.0925 103.7097
61.3800 -2.0925 87.7979
62.0775 -2.0925 82.0920
62.7750 -2.0925 76.0096
63.4725 -2.0925 69.8135
64.1700 -2.0925 92.4243
64.8675 -2.0925 143.7762
65.5650 -2.0925 161.5248
66.2625 -2.0925 145.5404
66.9600 -2.0925 210.3176
67.6575 -2.0925 114.7177
68.3550 -2.0925 48.4498
69.0525 -2.0925 102.0982
69.7500 -2.0925 99.8284
0.0000 -1.3950 133.4379
0.6975 -1.3950 113.2375
1.3950 -1.3950 82.3636
2.0925 -1.3950 51.1404
2.7900 -1.3950 82.0462
3.4875 -1.3950 114.1795
4.1850 -1.3950 111.1868
4.8825 -1.3950 109.2230
5.5800 -1.3950 103.3383
6.2775 -1.3950 95.9079
6.9750 -1.3950 95.8093
7.6725 -1.3950 104.1093
8.3700 -1.3950 108.0173
9.0675 -1.3950 103.1363
9.7650 -1.3950 99.9951
10.4625 -1.3950 104.3424
11.1600 -1.3950 108.6973
11.8575 -1.3950 97.0905
12.5550 -1.3950 85.4402
13.2525 -1.3950 89.2505
13.9500 -1.3950 96.3943
14.6475 -1.3950 93.2180
15.3450 -1.3950 84.6866
16.0425 -1.3950 83.7537
16.7400 -1.3950 90.3989
17.4375 -1.3950 98.9396
18.1350 -1.3950 111.1398
18.8325 -1.3950 118.6716
19.5300 -1.3950 105.9297
20.2275 -1.3950 93.5682
20.9250 -1.3950 92.8952
21.6225 -1.3950 92.2221
22.3200 -1.3950 89.3235
23.0175 -1.3950 86.1215
23.7150 -1.3950 84.3954
24.4125 -1.3950 83.2197
25.1100 -1.3950 93.0929
25.8075 -1.3950 111.2673
26.5050 -1.3950 124.3815
27.2025 -1.3950 130.5894
27.9000 -1.3950 130.7563
28.5975 -1.3950 113.7276
29.2950 -1.3950 98.1727
29.9925 -1.3950 94.6233
30.6900 -1.3950 91.0738
31.3875 -1.3950 94.7221
32.0850 -1.3950 98.7069
32.7825 -1.3950 96.5091
33.4800 -1.3950 92.8019
34.1775 -1.3950 94.0844
34.8750 -1.3950 98.0286
35.5725 -1.3950 99.7033
36.2700 -1.3950 99.1223
36.9675 -1.3950 98.7094
37.6650 -1.3950 98.5882
38.3625 -1.3950 98.8754
39.0600 -1.3950 100.8673
39.7575 -1.3950 102.9394
40.4550 -1.3950 106.6055
41.1525 -1.3950 110.2716
41.8500 -1.3950 104.2308
42.5475 -1.3950 97.0125
43.2450 -1.3950 91.5082
43.9425 -1.3950 86.6210
44.6400 -1.3950 90.9968
45.3375 -1.3950 101.8510
46.0350 -1.3950 103.9898
46.7325 -1.3950 94.8736
47.4300 -1.3950 91.9896
48.1275 -1.3950 104.6357
48.8250 -1.3950 116.1459
49.5225 -1.3950 120.4108
50.2200 -1.3950 124.6758
50.9175 -1.3950 104.2798
51.6150 -1.3950 83.4969
52.3125 -1.3950 84.0009
53.0100 -1.3950 88.7697
53.7075 -1.3950 92.4434
54.4050 -1.3950 95.6027
55.1025 -1.3950 98.7764
55.8000 -1.3950 101.9619
56.4975 -1.3950 102.8864
57.1950 -1.3950 100.1325
57.8925 -1.3950 98.4769
