X ,Y ,Z ,AO ,Res ,A ,B ,M ,N 
   61.0000,    0.0000,   -7.8750,   15.7500, 16.598803,    18, 10000,    11,     4,
   62.5000,    0.0000,   -9.0000,   18.0000, 15.303890,    18, 10000,    10,     2,
   50.5000,    0.0000,   -1.1250,    2.2500, 38.883976,    19, 10000,    18,    17,
   52.0000,    0.0000,   -2.2500,    4.5000, 12.557933,    19, 10000,    17,    15,
   53.5000,    0.0000,   -3.3750,    6.7500, 11.378539,    19, 10000,    16,    13,
   55.0000,    0.0000,   -4.5000,    9.0000, 11.388273,    19, 10000,    15,    11,
   56.5000,    0.0000,   -5.6250,   11.2500, 13.579499,    19, 10000,    14,     9,
   58.0000,    0.0000,   -6.7500,   13.5000,  9.097298,    19, 10000,    13,     7,
   59.5000,    0.0000,   -7.8750,   15.7500, 16.125629,    19, 10000,    12,     5,
   61.0000,    0.0000,   -9.0000,   18.0000, 17.066074,    19, 10000,    11,     3,
   62.5000,    0.0000,  -10.1250,   20.2500, 16.016600,    19, 10000,    10,     1,
   49.0000,    0.0000,   -1.1250,    2.2500, 37.029732,    20, 10000,    19,    18,
   50.5000,    0.0000,   -2.2500,    4.5000, 12.291323,    20, 10000,    18,    16,
   52.0000,    0.0000,   -3.3750,    6.7500, 12.183921,    20, 10000,    17,    14,
   53.5000,    0.0000,   -4.5000,    9.0000, 11.005646,    20, 10000,    16,    12,
   55.0000,    0.0000,   -5.6250,   11.2500, 14.660519,    20, 10000,    15,    10,
   56.5000,    0.0000,   -6.7500,   13.5000, 15.095456,    20, 10000,    14,     8,
   58.0000,    0.0000,   -7.8750,   15.7500, 10.417911,    20, 10000,    13,     6,
   59.5000,    0.0000,   -9.0000,   18.0000, 17.299505,    20, 10000,    12,     4,
   61.0000,    0.0000,  -10.1250,   20.2500, 18.157883,    20, 10000,    11,     2,
   47.5000,    0.0000,   -1.1250,    2.2500, 15.234536,    21, 10000,    20,    19,
   49.0000,    0.0000,   -2.2500,    4.5000,  8.749506,    21, 10000,    19,    17,
   50.5000,    0.0000,   -3.3750,    6.7500,  3.753137,    21, 10000,    18,    15,
   52.0000,    0.0000,   -4.5000,    9.0000,  9.886691,    21, 10000,    17,    13,
   53.5000,    0.0000,   -5.6250,   11.2500,  9.536024,    21, 10000,    16,    11,
   55.0000,    0.0000,   -6.7500,   13.5000, 13.743824,    21, 10000,    15,     9,
   56.5000,    0.0000,   -7.8750,   15.7500, 15.125032,    21, 10000,    14,     7,
   58.0000,    0.0000,   -9.0000,   18.0000, 11.622437,    21, 10000,    13,     5,
   59.5000,    0.0000,  -10.1250,   20.2500, 17.017242,    21, 10000,    12,     3,
   61.0000,    0.0000,  -11.2500,   22.5000, 18.478453,    21, 10000,    11,     1,
   46.0000,    0.0000,   -1.1250,    2.2500, 21.629562,    22, 10000,    21,    20,
   47.5000,    0.0000,   -2.2500,    4.5000,  8.559971,    22, 10000,    20,    18,
   49.0000,    0.0000,   -3.3750,    6.7500,  7.408960,    22, 10000,    19,    16,
   50.5000,    0.0000,   -4.5000,    9.0000,  5.825409,    22, 10000,    18,    14,
   52.0000,    0.0000,   -5.6250,   11.2500,  8.857382,    22, 10000,    17,    12,
   53.5000,    0.0000,   -6.7500,   13.5000, 11.943733,    22, 10000,    16,    10,
   55.0000,    0.0000,   -7.8750,   15.7500, 15.611119,    22, 10000,    15,     8,
   56.5000,    0.0000,   -9.0000,   18.0000, 15.829445,    22, 10000,    14,     6,
   58.0000,    0.0000,  -10.1250,   20.2500, 12.222363,    22, 10000,    13,     4,
   59.5000,    0.0000,  -11.2500,   22.5000, 17.132946,    22, 10000,    12,     2,
   44.5000,    0.0000,   -1.1250,    2.2500, 34.969975,    23, 10000,    22,    21,
   46.0000,    0.0000,   -2.2500,    4.5000,  2.639437,    23, 10000,    21,    19,
   47.5000,    0.0000,   -3.3750,    6.7500,  4.952554,    23, 10000,    20,    17,
   49.0000,    0.0000,   -4.5000,    9.0000,  3.691831,    23, 10000,    19,    15,
   50.5000,    0.0000,   -5.6250,   11.2500,  2.482899,    23, 10000,    18,    13,
   52.0000,    0.0000,   -6.7500,   13.5000,  3.887640,    23, 10000,    17,    11,
   53.5000,    0.0000,   -7.8750,   15.7500, 11.902983,    23, 10000,    16,     9,
   55.0000,    0.0000,   -9.0000,   18.0000, 16.697153,    23, 10000,    15,     7,
   56.5000,    0.0000,  -10.1250,   20.2500, 15.777894,    23, 10000,    14,     5,
   58.0000,    0.0000,  -11.2500,   22.5000, 11.105908,    23, 10000,    13,     3,
   59.5000,    0.0000,  -12.3750,   24.7500, 18.372616,    23, 10000,    12,     1,
   43.0000,    0.0000,   -3.3750,    6.7500, 30.906912,    26, 10000,    23,    20,
   44.5000,    0.0000,   -4.5000,    9.0000, 14.783825,    26, 10000,    22,    18,
   46.0000,    0.0000,   -5.6250,   11.2500, 12.281116,    26, 10000,    21,    16,
   47.5000,    0.0000,   -6.7500,   13.5000, 16.514219,    26, 10000,    20,    14,
   49.0000,    0.0000,   -7.8750,   15.7500, 16.486786,    26, 10000,    19,    12,
   50.5000,    0.0000,   -9.0000,   18.0000, 15.321453,    26, 10000,    18,    10,
   52.0000,    0.0000,  -10.1250,   20.2500, 19.167570,    26, 10000,    17,     8,
   53.5000,    0.0000,  -11.2500,   22.5000, 21.428854,    26, 10000,    16,     6,
   55.0000,    0.0000,  -12.3750,   24.7500, 23.270975,    26, 10000,    15,     4,
   56.5000,    0.0000,  -13.5000,   27.0000, 22.427399,    26, 10000,    14,     2,
   43.0000,    0.0000,   -5.6250,   11.2500, 17.920847,    28, 10000,    23,    18,
   44.5000,    0.0000,   -6.7500,   13.5000, 13.516203,    28, 10000,    22,    16,
   46.0000,    0.0000,   -7.8750,   15.7500, 13.453782,    28, 10000,    21,    14,
   47.5000,    0.0000,   -9.0000,   18.0000, 17.685148,    28, 10000,    20,    12,
   49.0000,    0.0000,  -10.1250,   20.2500, 17.867222,    28, 10000,    19,    10,
   50.5000,    0.0000,  -11.2500,   22.5000, 17.600721,    28, 10000,    18,     8,
   52.0000,    0.0000,  -12.3750,   24.7500, 19.822672,    28, 10000,    17,     6,
   53.5000,    0.0000,  -13.5000,   27.0000, 21.517262,    28, 10000,    16,     4,
   55.0000,    0.0000,  -14.6250,   29.2500, 22.544716,    28, 10000,    15,     2,
   38.5000,    0.0000,   -3.3750,    6.7500, 10.435542,    29, 10000,    26,    23,
   43.0000,    0.0000,   -6.7500,   13.5000, 14.936533,    29, 10000,    23,    17,
   44.5000,    0.0000,   -7.8750,   15.7500, 12.067391,    29, 10000,    22,    15,
   46.0000,    0.0000,   -9.0000,   18.0000, 14.569057,    29, 10000,    21,    13,
   47.5000,    0.0000,  -10.1250,   20.2500, 16.267563,    29, 10000,    20,    11,
   49.0000,    0.0000,  -11.2500,   22.5000, 17.031584,    29, 10000,    19,     9,
   50.5000,    0.0000,  -12.3750,   24.7500, 16.582396,    29, 10000,    18,     7,
   52.0000,    0.0000,  -13.5000,   27.0000, 18.573021,    29, 10000,    17,     5,
   53.5000,    0.0000,  -14.6250,   29.2500, 19.553747,    29, 10000,    16,     3,
   55.0000,    0.0000,  -15.7500,   31.5000, 20.553642,    29, 10000,    15,     1,
   34.0000,    0.0000,   -1.1250,    2.2500, 29.979137,    30, 10000,    29,    28,
   35.5000,    0.0000,   -2.2500,    4.5000, 15.957522,    30, 10000,    28,    26,
   38.5000,    0.0000,   -4.5000,    9.0000,  9.286424,    30, 10000,    26,    22,
   43.0000,    0.0000,   -7.8750,   15.7500, 14.947836,    30, 10000,    23,    16,
   44.5000,    0.0000,   -9.0000,   18.0000, 13.288313,    30, 10000,    22,    14,
   46.0000,    0.0000,  -10.1250,   20.2500, 13.404018,    30, 10000,    21,    12,
   47.5000,    0.0000,  -11.2500,   22.5000, 17.409801,    30, 10000,    20,    10,
   49.0000,    0.0000,  -12.3750,   24.7500, 18.355423,    30, 10000,    19,     8,
   50.5000,    0.0000,  -13.5000,   27.0000, 17.251040,    30, 10000,    18,     6,
   52.0000,    0.0000,  -14.6250,   29.2500, 18.797628,    30, 10000,    17,     4,
   53.5000,    0.0000,  -15.7500,   31.5000, 19.771633,    30, 10000,    16,     2,
   32.5000,    0.0000,   -1.1250,    2.2500, 43.676464,    31, 10000,    30,    29,
   38.5000,    0.0000,   -5.6250,   11.2500, 10.385122,    31, 10000,    26,    21,
   43.0000,    0.0000,   -9.0000,   18.0000, 17.320671,    31, 10000,    23,    15,
   44.5000,    0.0000,  -10.1250,   20.2500, 18.134109,    31, 10000,    22,    13,
   46.0000,    0.0000,  -11.2500,   22.5000, 15.619847,    31, 10000,    21,    11,
   47.5000,    0.0000,  -12.3750,   24.7500, 20.984781,    31, 10000,    20,     9,
   49.0000,    0.0000,  -13.5000,   27.0000, 21.569038,    31, 10000,    19,     7,
   50.5000,    0.0000,  -14.6250,   29.2500, 20.543575,    31, 10000,    18,     5,
