X	Y	P
65.4150 -2.6700 119.6697
66.0825 -2.6700 117.3262
66.7500 -2.6700 116.3525
0.0000 -2.0025 130.2802
0.6675 -2.0025 104.1038
1.3350 -2.0025 106.8264
2.0025 -2.0025 108.9276
2.6700 -2.0025 108.6777
3.3375 -2.0025 108.4260
4.0050 -2.0025 93.3472
4.6725 -2.0025 95.4169
5.3400 -2.0025 97.8724
6.0075 -2.0025 100.1589
6.6750 -2.0025 92.3254
7.3425 -2.0025 91.7712
8.0100 -2.0025 91.2383
8.6775 -2.0025 96.3829
9.3450 -2.0025 101.8754
10.0125 -2.0025 106.1102
10.6800 -2.0025 110.1827
11.3475 -2.0025 111.7447
12.0150 -2.0025 108.0057
12.6825 -2.0025 105.3263
13.3500 -2.0025 115.6008
14.0175 -2.0025 125.8808
14.6850 -2.0025 118.4045
15.3525 -2.0025 107.0189
16.0200 -2.0025 100.2268
16.6875 -2.0025 96.9726
17.3550 -2.0025 94.0977
18.0225 -2.0025 92.2267
18.6900 -2.0025 90.1777
19.3575 -2.0025 88.7737
20.0250 -2.0025 87.3684
20.6925 -2.0025 80.5848
21.3600 -2.0025 71.9188
22.0275 -2.0025 81.2423
22.6950 -2.0025 106.7259
23.3625 -2.0025 120.6332
24.0300 -2.0025 104.3234
24.6975 -2.0025 88.3326
25.3650 -2.0025 88.8985
26.0325 -2.0025 89.4641
26.7000 -2.0025 99.2406
27.3675 -2.0025 111.1679
28.0350 -2.0025 113.1041
28.7025 -2.0025 106.9198
29.3700 -2.0025 105.0014
30.0375 -2.0025 113.3255
30.7050 -2.0025 121.0711
31.3725 -2.0025 112.5695
32.0400 -2.0025 104.0671
32.7075 -2.0025 92.1495
33.3750 -2.0025 79.0449
34.0425 -2.0025 71.3521
34.7100 -2.0025 68.7516
35.3775 -2.0025 74.6103
36.0450 -2.0025 102.8298
36.7125 -2.0025 129.9623
37.3800 -2.0025 113.8707
38.0475 -2.0025 97.7783
38.7150 -2.0025 101.2445
39.3825 -2.0025 110.3640
40.0500 -2.0025 111.8893
40.7175 -2.0025 106.4203
41.3850 -2.0025 101.1148
42.0525 -2.0025 96.4928
42.7200 -2.0025 91.6841
43.3875 -2.0025 78.1395
44.0550 -2.0025 64.5944
44.7225 -2.0025 58.5962
45.3900 -2.0025 54.7932
46.0575 -2.0025 65.7094
46.7250 -2.0025 90.0642
47.3925 -2.0025 107.9456
48.0600 -2.0025 108.6575
48.7275 -2.0025 109.2663
49.3950 -2.0025 105.1450
50.0625 -2.0025 101.0237
50.7300 -2.0025 106.1609
51.3975 -2.0025 113.9781
52.0650 -2.0025 113.2105
52.7325 -2.0025 104.7898
53.4000 -2.0025 97.5502
54.0675 -2.0025 93.3350
54.7350 -2.0025 89.4070
55.4025 -2.0025 94.8326
56.0700 -2.0025 100.2583
56.7375 -2.0025 95.2131
57.4050 -2.0025 87.2418
58.0725 -2.0025 87.6420
58.7400 -2.0025 98.3349
59.4075 -2.0025 107.9633
60.0750 -2.0025 114.9223
60.7425 -2.0025 135.0362
61.4100 -2.0025 123.5947
62.0775 -2.0025 112.1528
62.7450 -2.0025 114.9494
63.4125 -2.0025 121.5464
64.0800 -2.0025 140.2584
64.7475 -2.0025 128.6474
65.4150 -2.0025 119.7533
66.0825 -2.0025 117.4091
66.7500 -2.0025 116.0238
0.0000 -1.3350 137.9873
0.6675 -1.3350 102.8052
1.3350 -1.3350 105.7019
2.0025 -1.3350 108.6407
2.6700 -1.3350 108.7393
3.3375 -1.3350 108.4823
4.0050 -1.3350 92.7884
4.6725 -1.3350 94.9088
5.3400 -1.3350 97.2221
6.0075 -1.3350 99.5682
6.6750 -1.3350 92.4191
7.3425 -1.3350 91.8596
8.0100 -1.3350 91.2996
8.6775 -1.3350 95.4782
9.3450 -1.3350 101.0264
10.0125 -1.3350 105.6874
10.6800 -1.3350 109.7758
11.3475 -1.3350 112.1093
12.0150 -1.3350 108.3571
12.6825 -1.3350 104.6080
13.3500 -1.3350 114.6002
14.0175 -1.3350 124.9176
14.6850 -1.3350 119.4481
15.3525 -1.3350 108.0256
16.0200 -1.3350 100.4847
16.6875 -1.3350 97.2227
17.3550 -1.3350 94.2506
18.0225 -1.3350 92.3747
18.6900 -1.3350 90.4986
19.3575 -1.3350 88.9827
20.0250 -1.3350 87.5682
20.6925 -1.3350 81.0884
21.3600 -1.3350 72.4116
22.0275 -1.3350 79.6394
22.6950 -1.3350 105.1621
23.3625 -1.3350 121.6145
24.0300 -1.3350 105.2818
24.6975 -1.3350 88.9483
25.3650 -1.3350 88.9164
26.0325 -1.3350 89.4804
26.7000 -1.3350 98.4099
27.3675 -1.3350 110.3591
28.0350 -1.3350 113.5563
28.7025 -1.3350 107.3600
29.3700 -1.3350 104.5133
30.0375 -1.3350 112.8484
30.7050 -1.3350 121.1840
31.3725 -1.3350 113.0453
32.0400 -1.3350 104.5325
32.7075 -1.3350 92.7493
33.3750 -1.3350 79.6340
34.0425 -1.3350 71.4847
34.7100 -1.3350 68.8817
35.3775 -1.3350 73.3141
36.0450 -1.3350 101.5571
36.7125 -1.3350 129.8009
37.3800 -1.3350 114.5966
38.0475 -1.3350 98.4913
38.7150 -1.3350 100.8501
39.3825 -1.3350 109.9763
40.0500 -1.3350 112.0804
40.7175 -1.3350 106.6087
41.3850 -1.3350 101.3048
42.0525 -1.3350 96.6797
42.7200 -1.3350 92.0545
43.3875 -1.3350 78.6423
44.0550 -1.3350 65.0899
44.7225 -1.3350 58.7268
45.3900 -1.3350 54.9220
46.0575 -1.3350 64.8718
46.7250 -1.3350 89.2381
47.3925 -1.3350 107.9206
48.0600 -1.3350 108.6328
48.7275 -1.3350 109.3449
49.3950 -1.3350 105.2670
50.0625 -1.3350 101.1442
50.7300 -1.3350 105.9092
51.3975 -1.3350 113.7296
52.0650 -1.3350 113.4743
52.7325 -1.3350 105.0503
53.4000 -1.3350 97.6767
54.0675 -1.3350 93.4601
54.7350 -1.3350 89.2507
55.4025 -1.3350 94.6781
56.0700 -1.3350 100.1055
56.7375 -1.3350 95.4403
57.4050 -1.3350 87.4664
58.0725 -1.3350 87.3437
58.7400 -1.3350 98.0398
59.4075 -1.3350 107.7732
60.0750 -1.3350 114.7342
60.7425 -1.3350 135.3445
61.4100 -1.3350 123.8996
62.0775 -1.3350 112.4546
62.7450 -1.3350 114.7732
63.4125 -1.3350 121.3720
64.0800 -1.3350 140.5607
64.7475 -1.3350 128.9467
65.4150 -1.3350 119.8132
66.0825 -1.3350 117.4683
66.7500 -1.3350 115.9348
0.0000 -0.6675 142.7998
0.6675 -0.6675 120.7963
1.3350 -0.6675 104.9967
2.0025 -0.6675 108.0269
2.6700 -0.6675 108.7770
3.3375 -0.6675 108.5167
4.0050 -0.6675 92.4457
4.6725 -0.6675 94.5985
5.3400 -0.6675 96.8236
6.0075 -0.6675 99.2074
6.6750 -0.6675 101.5934
7.3425 -0.6675 91.9128
8.0100 -0.6675 91.3500
8.6775 -0.6675 94.9303
9.3450 -0.6675 100.5129
10.0125 -0.6675 105.4329
10.6800 -0.6675 109.5310
11.3475 -0.6675 112.3287
12.0150 -0.6675 108.5685
12.6825 -0.6675 104.8081
13.3500 -0.6675 113.9980
14.0175 -0.6675 124.3381
14.6850 -0.6675 120.0760
15.3525 -0.6675 108.6312
16.0200 -0.6675 100.6397
16.6875 -0.6675 97.3730
17.3550 -0.6675 94.3426
18.0225 -0.6675 92.4638
18.6900 -0.6675 90.5849
19.3575 -0.6675 89.1085
20.0250 -0.6675 87.6885
20.6925 -0.6675 81.3908
21.3600 -0.6675 72.7076
22.0275 -0.6675 78.6765
22.6950 -0.6675 104.2227
23.3625 -0.6675 122.2040
24.0300 -0.6675 105.8576
24.6975 -0.6675 89.5108
25.3650 -0.6675 88.9272
26.0325 -0.6675 89.4902
26.7000 -0.6675 97.9108
27.3675 -0.6675 109.8732
28.0350 -0.6675 113.8280
28.7025 -0.6675 107.6244
29.3700 -0.6675 104.2201
30.0375 -0.6675 112.5619
30.7050 -0.6675 120.9038
31.3725 -0.6675 113.3310
32.0400 -0.6675 104.8120
32.7075 -0.6675 93.1094
33.3750 -0.6675 79.9876
34.0425 -0.6675 71.5644
34.7100 -0.6675 68.9597
35.3775 -0.6675 72.5359
36.0450 -0.6675 100.7930
36.7125 -0.6675 129.0502
37.3800 -0.6675 115.0323
38.0475 -0.6675 98.9193
38.7150 -0.6675 100.6134
39.3825 -0.6675 109.7435
40.0500 -0.6675 112.1951
40.7175 -0.6675 106.7218
41.3850 -0.6675 101.4189
42.0525 -0.6675 96.7919
42.7200 -0.6675 92.1649
43.3875 -0.6675 78.9442
44.0550 -0.6675 65.3873
44.7225 -0.6675 58.8052
45.3900 -0.6675 54.9994
46.0575 -0.6675 64.3691
46.7250 -0.6675 88.7422
47.3925 -0.6675 107.9056
48.0600 -0.6675 108.6179
48.7275 -0.6675 109.3303
49.3950 -0.6675 105.3401
50.0625 -0.6675 101.2166
50.7300 -0.6675 105.7581
51.3975 -0.6675 113.5804
52.0650 -0.6675 113.6326
52.7325 -0.6675 105.2067
53.4000 -0.6675 97.7527
54.0675 -0.6675 93.5351
54.7350 -0.6675 89.3176
55.4025 -0.6675 94.5853
56.0700 -0.6675 100.0138
56.7375 -0.6675 95.5766
57.4050 -0.6675 87.6012
58.0725 -0.6675 87.1646
58.7400 -0.6675 97.8628
59.4075 -0.6675 107.6590
60.0750 -0.6675 114.6213
60.7425 -0.6675 121.5835
61.4100 -0.6675 124.0826
62.0775 -0.6675 112.6357
62.7450 -0.6675 114.6675
63.4125 -0.6675 121.2675
64.0800 -0.6675 140.7422
64.7475 -0.6675 129.1262
65.4150 -0.6675 119.8491
66.0825 -0.6675 117.5038
66.7500 -0.6675 115.9530
0.0000 0.0000 144.4383
0.6675 0.0000 122.2250
1.3350 0.0000 104.7561
2.0025 0.0000 107.8186
2.6700 0.0000 108.7896
3.3375 0.0000 108.5282
4.0050 0.0000 92.3301
4.6725 0.0000 94.4941
5.3400 0.0000 96.6894
6.0075 0.0000 99.0861
6.6750 0.0000 101.4828
7.3425 0.0000 91.9307
8.0100 0.0000 91.3669
8.6775 0.0000 94.7469
9.3450 0.0000 100.3410
10.0125 0.0000 105.3480
10.6800 0.0000 109.4493
11.3475 0.0000 112.4019
12.0150 0.0000 108.6390
12.6825 0.0000 104.8762
13.3500 0.0000 113.7969
14.0175 0.0000 124.1446
14.6850 0.0000 120.2856
15.3525 0.0000 108.8333
16.0200 0.0000 100.6914
16.6875 0.0000 97.4231
17.3550 0.0000 94.3733
18.0225 0.0000 92.4935
18.6900 0.0000 90.6137
19.3575 0.0000 89.1506
20.0250 0.0000 87.7286
20.6925 0.0000 81.4916
21.3600 0.0000 72.8063
22.0275 0.0000 78.3553
22.6950 0.0000 103.9093
23.3625 0.0000 122.4006
24.0300 0.0000 106.0496
24.6975 0.0000 89.6985
25.3650 0.0000 88.9308
26.0325 0.0000 89.4935
26.7000 0.0000 97.7443
27.3675 0.0000 109.7111
28.0350 0.0000 113.9187
28.7025 0.0000 107.7126
