X	Y	P
6.2775 -1.3950 99.9051
6.9750 -1.3950 100.3508
7.6725 -1.3950 101.2834
8.3700 -1.3950 101.7628
9.0675 -1.3950 101.0884
9.7650 -1.3950 100.6064
10.4625 -1.3950 101.6740
11.1600 -1.3950 102.7417
11.8575 -1.3950 101.7150
12.5550 -1.3950 100.5853
13.2525 -1.3950 100.3625
13.9500 -1.3950 100.3712
14.6475 -1.3950 101.7930
15.3450 -1.3950 103.9827
16.0425 -1.3950 103.7988
16.7400 -1.3950 101.1637
17.4375 -1.3950 99.8761
18.1350 -1.3950 101.2121
18.8325 -1.3950 101.8468
19.5300 -1.3950 99.4735
20.2275 -1.3950 97.1926
20.9250 -1.3950 96.6986
21.6225 -1.3950 96.2047
22.3200 -1.3950 98.1343
23.0175 -1.3950 100.4515
23.7150 -1.3950 95.0490
24.4125 -1.3950 86.6441
25.1100 -1.3950 85.6316
25.8075 -1.3950 90.2292
26.5050 -1.3950 95.7639
27.2025 -1.3950 102.6693
27.9000 -1.3950 107.2227
28.5975 -1.3950 105.1331
29.2950 -1.3950 103.6544
29.9925 -1.3950 107.0482
30.6900 -1.3950 110.4422
31.3875 -1.3950 110.0725
32.0850 -1.3950 109.5397
32.7825 -1.3950 106.8858
33.4800 -1.3950 103.7154
34.1775 -1.3950 104.9824
34.8750 -1.3950 108.6375
35.5725 -1.3950 106.8531
36.2700 -1.3950 99.5610
36.9675 -1.3950 95.0576
37.6650 -1.3950 95.8396
38.3625 -1.3950 96.5358
39.0600 -1.3950 96.8874
39.7575 -1.3950 96.9709
40.4550 -1.3950 91.1586
41.1525 -1.3950 85.3462
41.8500 -1.3950 93.3550
42.5475 -1.3950 103.0333
43.2450 -1.3950 103.9544
43.9425 -1.3950 101.8118
44.6400 -1.3950 102.6657
45.3375 -1.3950 105.5996
46.0350 -1.3950 106.5909
46.7325 -1.3950 105.0853
47.4300 -1.3950 103.1264
48.1275 -1.3950 100.0616
48.8250 -1.3950 97.4481
49.5225 -1.3950 97.6911
50.2200 -1.3950 97.9341
50.9175 -1.3950 94.3989
51.6150 -1.3950 90.8014
52.3125 -1.3950 96.4027
53.0100 -1.3950 103.8651
53.7075 -1.3950 101.4380
54.4050 -1.3950 94.3641
55.1025 -1.3950 91.6976
55.8000 -1.3950 92.9555
56.4975 -1.3950 95.7910
57.1950 -1.3950 101.2010
57.8925 -1.3950 105.3558
58.5900 -1.3950 105.2830
59.2875 -1.3950 105.6099
59.9850 -1.3950 110.7435
60.6825 -1.3950 115.8772
61.3800 -1.3950 99.6067
62.0775 -1.3950 102.3826
62.7750 -1.3950 99.2338
63.4725 -1.3950 94.3636
64.1700 -1.3950 93.1282
64.8675 -1.3950 85.8239
65.5650 -1.3950 85.7655
66.2625 -1.3950 93.7886
66.9600 -1.3950 110.5272
67.6575 -1.3950 94.7690
68.3550 -1.3950 80.0572
69.0525 -1.3950 70.4184
69.7500 -1.3950 100.0192
0.0000 -0.6975 105.3842
0.6975 -0.6975 99.1878
1.3950 -0.6975 100.8182
2.0925 -0.6975 102.4650
2.7900 -0.6975 102.7397
3.4875 -0.6975 102.7327
4.1850 -0.6975 99.1742
4.8825 -0.6975 99.8070
5.5800 -0.6975 100.0432
6.2775 -0.6975 99.9127
6.9750 -0.6975 100.2634
7.6725 -0.6975 101.2013
8.3700 -0.6975 101.8170
9.0675 -0.6975 101.1399
9.7650 -0.6975 100.5391
10.4625 -0.6975 101.6090
11.1600 -0.6975 102.6790
11.8575 -0.6975 101.7855
12.5550 -0.6975 100.6531
13.2525 -0.6975 100.3643
13.9500 -0.6975 100.3728
14.6475 -0.6975 101.6695
15.3450 -0.6975 103.8637
16.0425 -0.6975 103.9428
16.7400 -0.6975 101.3026
17.4375 -0.6975 99.8020
18.1350 -0.6975 101.1407
18.8325 -0.6975 101.9741
19.5300 -0.6975 99.5963
20.2275 -0.6975 97.2185
20.9250 -0.6975 96.7026
21.6225 -0.6975 96.2091
22.3200 -0.6975 98.0459
23.0175 -0.6975 100.3652
23.7150 -0.6975 95.3863
24.4125 -0.6975 86.9726
25.1100 -0.6975 85.4474
25.8075 -0.6975 90.0497
26.5050 -0.6975 95.5195
27.2025 -0.6975 102.4305
27.9000 -0.6975 107.3010
28.5975 -0.6975 105.2096
29.2950 -0.6975 103.5365
29.9925 -0.6975 106.9330
30.6900 -0.6975 110.3295
31.3875 -0.6975 110.0906
32.0850 -0.6975 109.5574
32.7825 -0.6975 106.9826
33.4800 -0.6975 103.8103
34.1775 -0.6975 104.8871
34.8750 -0.6975 108.5437
35.5725 -0.6975 107.0421
36.2700 -0.6975 99.7468
36.9675 -0.6975 95.0381
37.6650 -0.6975 95.8203
38.3625 -0.6975 96.5290
39.0600 -0.6975 96.8808
39.7575 -0.6975 97.1157
40.4550 -0.6975 91.3011
41.1525 -0.6975 85.4864
41.8500 -0.6975 93.1260
42.5475 -0.6975 102.8078
43.2450 -0.6975 104.0055
43.9425 -0.6975 101.8621
44.6400 -0.6975 102.5977
45.3375 -0.6975 105.5326
46.0350 -0.6975 106.6208
46.7325 -0.6975 105.1149
47.4300 -0.6975 103.1936
48.1275 -0.6975 100.1279
48.8250 -0.6975 97.4419
49.5225 -0.6975 97.6850
50.2200 -0.6975 97.9281
50.9175 -0.6975 94.4692
51.6150 -0.6975 90.8708
52.3125 -0.6975 96.2636
53.0100 -0.6975 103.7276
53.7075 -0.6975 101.5663
54.4050 -0.6975 94.4909
55.1025 -0.6975 91.6762
55.8000 -0.6975 92.9343
56.4975 -0.6975 95.6921
57.1950 -0.6975 101.1033
57.8925 -0.6975 105.3603
58.5900 -0.6975 105.2874
59.2875 -0.6975 105.5244
59.9850 -0.6975 110.6590
60.6825 -0.6975 115.7936
61.3800 -0.6975 99.5605
62.0775 -0.6975 102.3370
62.7750 -0.6975 99.3149
63.4725 -0.6975 94.4438
64.1700 -0.6975 93.2442
64.8675 -0.6975 85.9386
65.5650 -0.6975 85.6373
66.2625 -0.6975 93.6617
66.9600 -0.6975 110.7734
67.6575 -0.6975 95.0128
68.3550 -0.6975 80.2048
69.0525 -0.6975 70.5645
69.7500 -0.6975 100.0192
0.0000 -0.0000 105.4700
0.6975 -0.0000 104.3564
1.3950 -0.0000 100.7039
2.0925 -0.0000 102.3647
2.7900 -0.0000 102.7350
3.4875 -0.0000 102.7288
4.1850 -0.0000 99.1346
4.8825 -0.0000 99.7718
5.5800 -0.0000 100.0457
6.2775 -0.0000 99.9152
6.9750 -0.0000 100.2342
7.6725 -0.0000 101.1738
8.3700 -0.0000 101.8352
9.0675 -0.0000 101.1571
9.7650 -0.0000 100.5166
10.4625 -0.0000 101.5873
11.1600 -0.0000 102.6580
11.8575 -0.0000 101.8091
12.5550 -0.0000 100.6757
13.2525 -0.0000 100.3649
13.9500 -0.0000 100.3734
14.6475 -0.0000 101.6283
15.3450 -0.0000 103.8239
16.0425 -0.0000 103.9909
16.7400 -0.0000 101.3490
17.4375 -0.0000 99.7773
18.1350 -0.0000 101.1168
18.8325 -0.0000 102.0165
19.5300 -0.0000 99.6373
20.2275 -0.0000 97.2581
20.9250 -0.0000 96.7039
21.6225 -0.0000 96.2105
22.3200 -0.0000 98.0163
23.0175 -0.0000 100.3364
23.7150 -0.0000 95.4988
24.4125 -0.0000 87.0822
25.1100 -0.0000 85.3859
25.8075 -0.0000 89.9899
26.5050 -0.0000 95.4379
27.2025 -0.0000 102.3508
27.9000 -0.0000 107.3272
28.5975 -0.0000 105.2351
29.2950 -0.0000 103.4972
29.9925 -0.0000 106.8945
30.6900 -0.0000 110.2919
31.3875 -0.0000 110.0967
32.0850 -0.0000 109.5634
32.7825 -0.0000 107.0149
33.4800 -0.0000 103.8420
34.1775 -0.0000 104.8552
34.8750 -0.0000 108.5124
35.5725 -0.0000 107.1051
36.2700 -0.0000 99.8088
36.9675 -0.0000 95.0316
37.6650 -0.0000 95.8139
38.3625 -0.0000 96.5268
39.0600 -0.0000 96.8785
39.7575 -0.0000 97.1640
40.4550 -0.0000 91.3486
41.1525 -0.0000 85.5331
41.8500 -0.0000 93.0496
42.5475 -0.0000 102.7327
43.2450 -0.0000 104.0225
43.9425 -0.0000 101.8789
44.6400 -0.0000 102.5750
45.3375 -0.0000 105.5103
46.0350 -0.0000 106.6308
46.7325 -0.0000 105.1247
47.4300 -0.0000 103.2160
48.1275 -0.0000 100.1500
48.8250 -0.0000 97.4398
49.5225 -0.0000 97.6829
50.2200 -0.0000 97.9261
50.9175 -0.0000 94.4926
51.6150 -0.0000 90.8939
52.3125 -0.0000 96.2172
53.0100 -0.0000 103.6818
53.7075 -0.0000 101.6091
54.4050 -0.0000 94.5331
55.1025 -0.0000 91.6691
55.8000 -0.0000 92.9272
56.4975 -0.0000 95.6591
57.1950 -0.0000 101.0707
57.8925 -0.0000 105.3618
58.5900 -0.0000 105.2889
59.2875 -0.0000 105.4959
59.9850 -0.0000 110.6308
60.6825 -0.0000 115.7657
61.3800 -0.0000 99.5451
62.0775 -0.0000 102.3218
62.7750 -0.0000 99.3419
63.4725 -0.0000 94.4705
64.1700 -0.0000 93.2829
64.8675 -0.0000 85.9769
65.5650 -0.0000 85.5945
66.2625 -0.0000 93.6194
66.9600 -0.0000 110.8555
67.6575 -0.0000 95.0940
68.3550 -0.0000 80.2540
69.0525 -0.0000 70.6132
69.7500 -0.0000 100.0192
0.0000 0.6975 105.3842
0.6975 0.6975 99.1878
1.3950 0.6975 100.8182
2.0925 0.6975 102.4650
2.7900 0.6975 102.7397
3.4875 0.6975 102.7327
4.1850 0.6975 99.1742
4.8825 0.6975 99.8070
5.5800 0.6975 100.0432
6.2775 0.6975 99.9127
6.9750 0.6975 100.2634
7.6725 0.6975 101.2013
8.3700 0.6975 101.8170
9.0675 0.6975 101.1399
9.7650 0.6975 100.5391
10.4625 0.6975 101.6090
11.1600 0.6975 102.6790
11.8575 0.6975 101.7855
12.5550 0.6975 100.6531
13.2525 0.6975 100.3643
13.9500 0.6975 100.3728
14.6475 0.6975 101.6695
15.3450 0.6975 103.8637
16.0425 0.6975 103.9428
16.7400 0.6975 101.3026
17.4375 0.6975 99.8020
18.1350 0.6975 101.1407
18.8325 0.6975 101.9741
19.5300 0.6975 99.5963
20.2275 0.6975 97.2185
20.9250 0.6975 96.7026
21.6225 0.6975 96.2091
22.3200 0.6975 98.0459
23.0175 0.6975 100.3652
23.7150 0.6975 95.3863
24.4125 0.6975 86.9726
25.1100 0.6975 85.4474
25.8075 0.6975 90.0497
26.5050 0.6975 95.5195
27.2025 0.6975 102.4305
27.9000 0.6975 107.3010
28.5975 0.6975 105.2096
29.2950 0.6975 103.5365
29.9925 0.6975 106.9330
30.6900 0.6975 110.3295
31.3875 0.6975 110.0906
32.0850 0.6975 109.5574
32.7825 0.6975 106.9826
33.4800 0.6975 103.8103
34.1775 0.6975 104.8871
34.8750 0.6975 108.5437
35.5725 0.6975 107.0421
36.2700 0.6975 99.7468
36.9675 0.6975 95.0381
37.6650 0.6975 95.8203
38.3625 0.6975 96.5290
39.0600 0.6975 96.8808
39.7575 0.6975 97.1157
40.4550 0.6975 91.3011
41.1525 0.6975 85.4864
41.8500 0.6975 93.1260
42.5475 0.6975 102.8078
43.2450 0.6975 104.0055
43.9425 0.6975 101.8621
44.6400 0.6975 102.5977
45.3375 0.6975 105.5326
46.0350 0.6975 106.6208
46.7325 0.6975 105.1149
47.4300 0.6975 103.1936
48.1275 0.6975 100.1279
48.8250 0.6975 97.4419
49.5225 0.6975 97.6850
50.2200 0.6975 97.9281
50.9175 0.6975 94.4692
51.6150 0.6975 90.8708
52.3125 0.6975 96.2636
53.0100 0.6975 103.7276
53.7075 0.6975 101.5663
54.4050 0.6975 94.4909
55.1025 0.6975 91.6762
55.8000 0.6975 92.9343
56.4975 0.6975 95.6921
57.1950 0.6975 101.1033
57.8925 0.6975 105.3603
58.5900 0.6975 105.2874
59.2875 0.6975 105.5244
59.9850 0.6975 110.6590
60.6825 0.6975 115.7936
61.3800 0.6975 99.5605
62.0775 0.6975 102.3370
62.7750 0.6975 99.3149
63.4725 0.6975 94.4438
64.1700 0.6975 93.2442
64.8675 0.6975 85.9386
65.5650 0.6975 85.6373
66.2625 0.6975 93.6617
66.9600 0.6975 110.7734
67.6575 0.6975 95.0128
68.3550 0.6975 80.2048
69.0525 0.6975 70.5645
69.7500 0.6975 100.0192
0.0000 1.3950 105.1327
0.6975 1.3950 99.5642
1.3950 1.3950 101.1544
2.0925 1.3950 102.7436
2.7900 1.3950 102.7534
3.4875 1.3950 102.7438
4.1850 1.3950 99.2911
4.8825 1.3950 99.9116
5.5800 1.3950 100.0356
6.2775 1.3950 99.9051
6.9750 1.3950 100.3508
7.6725 1.3950 101.2834
8.3700 1.3950 101.7628
9.0675 1.3950 101.0884
9.7650 1.3950 100.6064
10.4625 1.3950 101.6740
11.1600 1.3950 102.7417
11.8575 1.3950 101.7150
12.5550 1.3950 100.5853
13.2525 1.3950 100.3625
13.9500 1.3950 100.3712
14.6475 1.3950 101.7930
15.3450 1.3950 103.9827
16.0425 1.3950 103.7988
16.7400 1.3950 101.1637
17.4375 1.3950 99.8761
18.1350 1.3950 101.2121
18.8325 1.3950 101.8468
19.5300 1.3950 99.4735
20.2275 1.3950 97.1926
20.9250 1.3950 96.6986
21.6225 1.3950 96.2047
22.3200 1.3950 98.1343
23.0175 1.3950 100.4515
23.7150 1.3950 95.0490
24.4125 1.3950 86.6441
25.1100 1.3950 85.6316
25.8075 1.3950 90.2292
26.5050 1.3950 95.7639
27.2025 1.3950 102.6693
27.9000 1.3950 107.2227
28.5975 1.3950 105.1331
29.2950 1.3950 103.6544
29.9925 1.3950 107.0482
30.6900 1.3950 110.4422
31.3875 1.3950 110.0725
32.0850 1.3950 109.5397
32.7825 1.3950 106.8858
33.4800 1.3950 103.7154
34.1775 1.3950 104.9824
34.8750 1.3950 108.6375
35.5725 1.3950 106.8531
36.2700 1.3950 99.5610
36.9675 1.3950 95.0576
37.6650 1.3950 95.8396
38.3625 1.3950 96.5358
39.0600 1.3950 96.8874
39.7575 1.3950 96.9709
40.4550 1.3950 91.1586
41.1525 1.3950 85.3462
41.8500 1.3950 93.3550
42.5475 1.3950 103.0333
43.2450 1.3950 103.9544
43.9425 1.3950 101.8118
44.6400 1.3950 102.6657
45.3375 1.3950 105.5996
46.0350 1.3950 106.5909
46.7325 1.3950 105.0853
47.4300 1.3950 103.1264
48.1275 1.3950 100.0616
48.8250 1.3950 97.4481
49.5225 1.3950 97.6911
50.2200 1.3950 97.9341
50.9175 1.3950 94.3989
