X ,Y ,Z ,AO ,Res ,A ,B ,M ,N 
   61.0000,    0.0000,   -7.8750,   15.7500, 15.563764,    18, 10000,    11,     4,
   62.5000,    0.0000,   -9.0000,   18.0000, 17.522545,    18, 10000,    10,     2,
   50.5000,    0.0000,   -1.1250,    2.2500, 68.236961,    19, 10000,    18,    17,
   52.0000,    0.0000,   -2.2500,    4.5000, 18.446447,    19, 10000,    17,    15,
   53.5000,    0.0000,   -3.3750,    6.7500, 12.979983,    19, 10000,    16,    13,
   55.0000,    0.0000,   -4.5000,    9.0000, 12.725110,    19, 10000,    15,    11,
   56.5000,    0.0000,   -5.6250,   11.2500, 11.773950,    19, 10000,    14,     9,
   58.0000,    0.0000,   -6.7500,   13.5000, 14.057069,    19, 10000,    13,     7,
   59.5000,    0.0000,   -7.8750,   15.7500, 14.441839,    19, 10000,    12,     5,
   61.0000,    0.0000,   -9.0000,   18.0000, 17.682207,    19, 10000,    11,     3,
   62.5000,    0.0000,  -10.1250,   20.2500, 18.681803,    19, 10000,    10,     1,
   49.0000,    0.0000,   -1.1250,    2.2500, 20.520819,    20, 10000,    19,    18,
   50.5000,    0.0000,   -2.2500,    4.5000, 17.428049,    20, 10000,    18,    16,
   52.0000,    0.0000,   -3.3750,    6.7500, 10.534649,    20, 10000,    17,    14,
   53.5000,    0.0000,   -4.5000,    9.0000, 12.812755,    20, 10000,    16,    12,
   55.0000,    0.0000,   -5.6250,   11.2500, 13.256345,    20, 10000,    15,    10,
   56.5000,    0.0000,   -6.7500,   13.5000, 13.095629,    20, 10000,    14,     8,
   58.0000,    0.0000,   -7.8750,   15.7500, 14.821163,    20, 10000,    13,     6,
   59.5000,    0.0000,   -9.0000,   18.0000, 15.278546,    20, 10000,    12,     4,
   61.0000,    0.0000,  -10.1250,   20.2500, 18.618696,    20, 10000,    11,     2,
   47.5000,    0.0000,   -1.1250,    2.2500, 14.271284,    21, 10000,    20,    19,
   49.0000,    0.0000,   -2.2500,    4.5000,  8.522161,    21, 10000,    19,    17,
   50.5000,    0.0000,   -3.3750,    6.7500, 10.776267,    21, 10000,    18,    15,
   52.0000,    0.0000,   -4.5000,    9.0000,  8.612259,    21, 10000,    17,    13,
   53.5000,    0.0000,   -5.6250,   11.2500, 11.188540,    21, 10000,    16,    11,
   55.0000,    0.0000,   -6.7500,   13.5000, 12.718994,    21, 10000,    15,     9,
   56.5000,    0.0000,   -7.8750,   15.7500, 12.254290,    21, 10000,    14,     7,
   58.0000,    0.0000,   -9.0000,   18.0000, 13.851631,    21, 10000,    13,     5,
   59.5000,    0.0000,  -10.1250,   20.2500, 14.347043,    21, 10000,    12,     3,
   61.0000,    0.0000,  -11.2500,   22.5000, 16.441299,    21, 10000,    11,     1,
   46.0000,    0.0000,   -1.1250,    2.2500, 30.087051,    22, 10000,    21,    20,
