X	Y	P
0.0000 -3.4875 109.2221
0.6975 -3.4875 99.9860
1.3950 -3.4875 92.7017
2.0925 -3.4875 84.5613
2.7900 -3.4875 63.6396
3.4875 -3.4875 66.6838
4.1850 -3.4875 72.9225
4.8825 -3.4875 77.7559
5.5800 -3.4875 77.9209
6.2775 -3.4875 65.2894
6.9750 -3.4875 67.5692
7.6725 -3.4875 70.0923
8.3700 -3.4875 81.0747
9.0675 -3.4875 93.4228
9.7650 -3.4875 97.5372
10.4625 -3.4875 98.3923
11.1600 -3.4875 102.0336
11.8575 -3.4875 107.9874
12.5550 -3.4875 110.9378
13.2525 -3.4875 109.1965
13.9500 -3.4875 108.0200
14.6475 -3.4875 108.7178
15.3450 -3.4875 109.4180
16.0425 -3.4875 111.7565
16.7400 -3.4875 114.1644
17.4375 -3.4875 109.9788
18.1350 -3.4875 103.9053
18.8325 -3.4875 101.0782
19.5300 -3.4875 100.4734
20.2275 -3.4875 99.8361
20.9250 -3.4875 99.1676
21.6225 -3.4875 99.0852
22.3200 -3.4875 102.1196
23.0175 -3.4875 105.1164
23.7150 -3.4875 102.1857
24.4125 -3.4875 99.1623
25.1100 -3.4875 94.0990
25.8075 -3.4875 88.6151
26.5050 -3.4875 90.3846
27.2025 -3.4875 95.8001
27.9000 -3.4875 99.5878
28.5975 -3.4875 101.7086
29.2950 -3.4875 102.3298
29.9925 -3.4875 100.1672
30.6900 -3.4875 98.5856
31.3875 -3.4875 99.4956
32.0850 -3.4875 100.3341
32.7825 -3.4875 96.9157
33.4800 -3.4875 93.4967
34.1775 -3.4875 95.4875
34.8750 -3.4875 98.4634
35.5725 -3.4875 98.8064
36.2700 -3.4875 97.8839
36.9675 -3.4875 97.7227
37.6650 -3.4875 98.2814
38.3625 -3.4875 98.9742
39.0600 -3.4875 99.9001
39.7575 -3.4875 100.3514
40.4550 -3.4875 99.1565
41.1525 -3.4875 98.1359
41.8500 -3.4875 99.0317
42.5475 -3.4875 99.9277
43.2450 -3.4875 93.7449
43.9425 -3.4875 86.8020
44.6400 -3.4875 91.2810
45.3375 -3.4875 99.7372
46.0350 -3.4875 102.4613
46.7325 -3.4875 101.1311
47.4300 -3.4875 103.8792
48.1275 -3.4875 112.1155
48.8250 -3.4875 118.8132
49.5225 -3.4875 121.2690
50.2200 -3.4875 121.6848
50.9175 -3.4875 107.0925
51.6150 -3.4875 92.4994
52.3125 -3.4875 94.1328
