电流	  ,电压1	  ,电压2	  ,电压3	  ,电压4	  ,电压5	  ,电压6	  ,电压7	  ,电压8	  ,电压9	  ,电压10	  ,电压11	  ,电压12	  ,电压13	  ,电压14	  ,电压15	  ,电压16	  ,电压17	  ,电压18	  ,电压19	  ,电压20	  ,电压21	  ,电压22	  ,电压23	  ,电压24	  ,电压25	  ,电压26	  ,电压27	  ,电压28	  ,电压29	  ,电压30	  ,电压31	  ,电压32	  ,电压33	  ,电压34	  ,电压35	  ,电压36	  ,电压37	  ,电压38	  ,电压39	  ,电压40	  ,电压41	  ,电压42	  ,电压43	  ,电压44	  ,电压45	  ,电压46	  ,电压47	  ,电压48	  ,
69.7021027	,-0.8497238	,357.9301758	,182.0321503	,117.3469315	,83.7225647	,67.5033722	,55.4682159	,50.0400429	,42.4271317	,36.1715851	,30.4770241	,29.6041183	,27.9447784	,27.5175858	,28.9610405	,30.2350426	,31.5090446	,30.9997578	,30.7322521	,30.1727104	,30.0177345	,28.9323616	,27.7174034	,25.2487144	,22.4721298	,22.3420639	,22.7696095	,22.4352684	,22.7750626	,22.9207058	,22.8677597	,22.9015961	,22.9354324	,22.9069023	,22.7965965	,22.6907806	,22.5755787	,22.4678459	,22.3588524	,21.7467537	,21.1346550	,21.0644875	,21.0000916	,20.9061680	,20.8636818	,20.7841988	,20.6426811	,19.1381035	,
69.7164764	,356.3620605	,11.9739170	,316.9848022	,160.8026123	,103.3451538	,79.0608597	,62.3369980	,55.1149826	,45.7678375	,38.1568832	,31.3453484	,30.2616806	,28.3524323	,27.8655834	,29.4588776	,30.9260902	,32.3933029	,31.8882809	,31.6671810	,31.0954380	,30.9566174	,29.6766148	,28.3293934	,25.5683231	,22.3951244	,22.2061653	,22.7282791	,22.3121147	,22.6823044	,22.7930336	,22.7629242	,22.7578125	,22.7527008	,22.7257004	,22.5997086	,22.4796295	,22.3550644	,22.2380524	,22.1220932	,21.4931030	,20.8641129	,20.8266144	,20.7180977	,20.6717415	,20.5739746	,20.5105743	,20.3918610	,18.9096146	,
65.7975845	,170.7895813	,296.0621948	,7.1899300	,294.4689331	,140.6292877	,96.0948334	,70.0541382	,59.8892288	,48.3558464	,38.9544830	,30.8182201	,29.4457397	,27.2907562	,26.7308083	,28.4461823	,30.1099205	,31.7736588	,31.3350925	,31.2266216	,30.6946449	,30.6017342	,29.0944862	,27.6393452	,24.6294365	,20.9773560	,20.7865334	,21.3683987	,20.8877449	,21.2480087	,21.3432083	,21.3043823	,21.2789993	,21.2536163	,21.2115250	,21.0800934	,20.9498100	,20.8190098	,20.6996269	,20.5837555	,20.0056992	,19.4276428	,19.3849525	,19.2741966	,19.2299614	,19.1364670	,19.0728455	,18.9446869	,17.6029739	,
65.9019775	,110.1297760	,150.8718262	,292.0732422	,-3.8637221	,253.7984009	,138.6793976	,88.7178650	,72.2852936	,56.5586433	,43.7092590	,33.0230675	,31.1202698	,28.4795227	,27.7960854	,29.8146553	,31.9113846	,34.0081139	,33.6717873	,33.7482986	,33.2637444	,33.2415581	,31.2716789	,29.5750446	,26.0040627	,21.3521500	,21.1402779	,21.8490734	,21.2406120	,21.6045685	,21.6812572	,21.6293335	,21.5776367	,21.5259399	,21.4566078	,21.3066254	,21.1522865	,21.0067787	,20.8767548	,20.7533836	,20.1657066	,19.5780296	,19.5302048	,19.4193420	,19.3675556	,19.2682419	,19.2043571	,19.0857201	,17.7494392	,
68.5119858	,81.7715912	,101.0977249	,145.7440186	,261.0716248	,-3.8882196	,296.3233337	,133.7903595	,98.2450790	,71.7323456	,52.5520477	,37.6610947	,34.9102669	,31.4286041	,30.5912437	,33.3215981	,36.4204483	,39.5192986	,39.4643822	,39.8804588	,39.5420113	,39.5811920	,36.5854454	,34.3582382	,29.6745415	,22.8082523	,22.5553627	,23.5067024	,22.6518574	,23.0419235	,23.0975723	,23.0254669	,22.9301605	,22.9358864	,22.8413544	,22.6579590	,22.4640808	,22.2878609	,22.1361351	,21.9942932	,21.3546448	,20.7149963	,20.6585541	,20.5366001	,20.4759407	,20.3705521	,20.2979507	,20.1649399	,18.7284317	,
66.4367981	,63.9409561	,75.1061478	,96.8422852	,139.3853455	,285.1579590	,4.3736997	,241.4219666	,138.4863586	,86.8433762	,59.3071327	,40.6325989	,37.1323242	,32.8154602	,32.0217552	,35.9964905	,40.9857826	,45.9750748	,46.7714424	,47.7175255	,47.8811340	,47.8113136	,42.9195251	,39.8567963	,33.7130432	,27.5692902	,27.2582893	,28.5154610	,27.3378582	,27.7448120	,27.7770042	,27.6790848	,27.5388489	,27.3986130	,27.2719383	,27.0540771	,26.8159904	,26.6017036	,26.4266243	,26.2666817	,25.6200676	,24.9734535	,24.9039001	,24.7728252	,24.7039814	,24.5894508	,24.5104485	,24.3748207	,22.9738045	,
69.7872162	,54.9004173	,61.9793243	,74.0664139	,93.5640717	,135.3084259	,250.9364014	,11.9466476	,298.1729736	,131.2132874	,77.1716690	,49.7776413	,44.7395401	,38.4546738	,38.2889328	,46.6367302	,58.2402077	,69.8436890	,73.8580170	,76.4388428	,78.5219574	,77.7954712	,66.3662567	,60.5288887	,49.8979073	,39.2669258	,38.7411880	,40.8970795	,38.7520065	,39.2164307	,39.2111588	,39.0423584	,38.8125229	,38.5826874	,38.3768539	,38.0558205	,37.6847801	,37.3712959	,37.1241341	,36.9046631	,36.1780930	,35.4515228	,35.3553925	,35.1826134	,35.0889397	,34.9470940	,34.8452225	,34.6834564	,33.1354446	,
68.7282333	,49.0174179	,54.2516327	,62.6958504	,75.4885864	,98.1490250	,142.4237671	,292.2933655	,-8.2191811	,250.0122070	,106.3700562	,60.3864441	,51.8653831	,42.2502213	,40.1558838	,46.6099701	,54.4501801	,62.2903900	,62.3183517	,65.9262543	,65.4839172	,67.8486862	,60.3838806	,55.2808380	,42.3615952	,25.4116745	,24.9585590	,27.8505154	,25.0857830	,25.5850945	,25.5340271	,25.3356781	,25.0135193	,24.8524551	,24.6030540	,24.2449608	,23.8296165	,23.4861145	,23.2181168	,22.9843445	,22.2484436	,22.5790634	,22.4766006	,22.2944565	,22.1965981	,22.0507088	,21.9427490	,21.7797394	,20.2533417	,
62.9810638	,37.8864059	,41.1361465	,46.3019676	,54.0133362	,65.5781555	,81.7479858	,118.0214767	,226.0377350	,23.7029514	,206.1421204	,79.8148727	,59.9656792	,44.5206184	,40.4847336	,46.7108688	,53.2354126	,59.7599564	,56.6856041	,63.0651970	,60.7069054	,67.1399841	,61.3736458	,55.8442841	,37.8404503	,24.1618958	,23.7294121	,28.2026901	,23.9337769	,24.3774109	,24.2131729	,23.9577789	,23.4791031	,23.1742706	,22.8481064	,22.4233551	,21.9234371	,21.5257339	,21.2276268	,20.9746628	,20.2821655	,20.5459137	,20.4304543	,20.2410450	,20.1396790	,19.9931412	,19.8831482	,19.7221832	,18.4087448	,
