电流	  ,电压1	  ,电压2	  ,电压3	  ,电压4	  ,电压5	  ,电压6	  ,电压7	  ,电压8	  ,电压9	  ,电压10	  ,电压11	  ,电压12	  ,电压13	  ,电压14	  ,电压15	  ,电压16	  ,电压17	  ,电压18	  ,电压19	  ,电压20	  ,电压21	  ,电压22	  ,电压23	  ,电压24	  ,电压25	  ,电压26	  ,电压27	  ,电压28	  ,电压29	  ,电压30	  ,电压31	  ,电压32	  ,电压33	  ,电压34	  ,电压35	  ,电压36	  ,电压37	  ,电压38	  ,电压39	  ,电压40	  ,电压41	  ,电压42	  ,电压43	  ,电压44	  ,电压45	  ,电压46	  ,电压47	  ,电压48	  ,
120.3673553	,8.4572744	,710.8285522	,254.1386414	,143.9429016	,92.5848007	,70.2170563	,49.5542831	,34.4500771	,14.9491596	,4.6416168	,-5.4936066	,-17.0217972	,-26.9133987	,-36.2695580	,-40.9851913	,-46.2558861	,-51.6922264	,-56.2014847	,-59.9904556	,-63.7402306	,-66.9790802	,-70.2611847	,-73.0870819	,-75.5293274	,-77.8603745	,-81.2997894	,-83.9318161	,-87.0373993	,-91.6000214	,-92.2800903	,-92.7777405	,-93.7899780	,-94.8022156	,-96.7674408	,-98.6923370	,-100.1413193	,-101.3934937	,-102.9357147	,-103.7978058	,-104.7017517	,-105.6056976	,-106.3038406	,-106.8991089	,-107.8628387	,-108.6529083	,-110.1855469	,-112.0178375	,-113.9360886	,
126.2664261	,754.7653198	,12.7096472	,527.2751465	,243.1258850	,149.3291016	,115.2775040	,86.7003937	,66.9435959	,42.0964203	,29.3526154	,17.0023270	,3.1467209	,-8.5995598	,-19.5883255	,-25.0994492	,-31.2455673	,-37.4206810	,-42.5503197	,-46.9438629	,-51.2070618	,-54.9659538	,-58.5901985	,-61.8710213	,-64.5095062	,-67.2148132	,-71.0771408	,-74.0203552	,-77.4837646	,-82.5569992	,-83.3241272	,-83.8933258	,-85.0268250	,-86.1603241	,-88.3913651	,-90.4227066	,-92.1687241	,-93.4726257	,-95.2197800	,-96.1280136	,-97.1718369	,-98.6782761	,-99.3887863	,-100.1103973	,-101.1302948	,-102.0396576	,-103.6730042	,-105.7045822	,-107.7859344	,
128.1304016	,293.3210144	,543.7543945	,19.6283150	,500.9000244	,244.3592377	,179.7235413	,135.0879517	,107.5566940	,74.7557144	,58.7725143	,43.6339912	,26.9868317	,13.0874157	,0.2919769	,-6.0842438	,-13.1673737	,-20.0602875	,-25.8924408	,-30.8618736	,-35.6483459	,-39.8643265	,-43.9022179	,-47.5390854	,-50.4512100	,-53.4332848	,-57.6744423	,-60.8929176	,-64.6709671	,-70.1758347	,-71.0228424	,-71.6578751	,-72.8995514	,-74.1412277	,-76.5511780	,-78.7501144	,-80.6325378	,-82.0602875	,-83.9253464	,-84.9048538	,-86.0207596	,-87.6669617	,-88.4282532	,-89.2003174	,-90.2940216	,-91.2677002	,-93.0117950	,-95.1742630	,-97.3855133	,
144.2131042	,208.6283417	,299.7137451	,571.4375610	,9.6627474	,498.8556213	,313.2775269	,219.6380463	,172.6471252	,121.9239731	,99.1173935	,78.2021790	,55.7366791	,37.4308777	,20.8431759	,12.6380081	,3.5731697	,-5.0253181	,-12.3812103	,-18.6127625	,-24.5707130	,-29.8080597	,-34.7907333	,-39.2575073	,-42.8163071	,-46.4440613	,-51.6289253	,-55.4818573	,-60.0751114	,-66.6436081	,-67.7150955	,-68.4697113	,-70.0238800	,-72.3263016	,-75.2070313	,-77.8400726	,-80.0839386	,-81.8178177	,-84.0114822	,-85.1797791	,-86.5005417	,-87.6534576	,-88.5569916	,-89.4705734	,-90.7673035	,-91.9183273	,-93.9788513	,-96.5275345	,-99.1278534	,
139.1347046	,150.6663208	,194.8181152	,282.9299927	,487.2056580	,-0.5555749	,633.2360229	,339.2407837	,246.1171417	,165.5618286	,134.9591522	,108.7265396	,81.4964371	,60.1935577	,41.2413330	,32.0341949	,21.9206924	,12.5968819	,4.5420322	,-2.2298279	,-8.6522465	,-14.2769547	,-19.5878143	,-24.3207474	,-28.0734367	,-31.8905754	,-37.3168106	,-41.3349648	,-46.0993271	,-52.8848686	,-54.0124969	,-54.8158379	,-56.4330711	,-58.8329773	,-61.7923584	,-64.5010529	,-66.8002014	,-68.5914459	,-70.8237305	,-72.0224609	,-73.3671341	,-74.5489883	,-75.4686737	,-76.3979187	,-77.7174759	,-78.8860703	,-80.9715729	,-83.5469360	,-86.1697388	,
144.3657684	,135.0609283	,168.8972015	,226.7588654	,327.1519165	,660.2767334	,2.6116667	,557.1706543	,347.3493347	,214.6029205	,172.9296570	,139.3113708	,105.6619263	,80.2261047	,58.0597649	,47.3726425	,35.7202072	,25.1363907	,15.9873734	,8.3417664	,1.1329193	,-5.1624451	,-11.0734110	,-16.3191452	,-20.4625740	,-24.6695061	,-30.6286602	,-35.0295639	,-40.2310104	,-47.6078033	,-48.8507729	,-49.7424240	,-51.5106926	,-54.1340027	,-57.3401299	,-60.2756042	,-62.7623062	,-64.7082214	,-67.1106567	,-68.4075317	,-69.8543549	,-71.1314545	,-72.1222992	,-73.1209564	,-74.5408783	,-75.7953796	,-78.0309601	,-80.7875748	,-83.5910492	,
148.0008240	,108.6322556	,135.2737579	,176.5756073	,235.2461853	,361.2258911	,565.4437256	,34.1556931	,656.7104492	,290.9090271	,221.2905884	,172.6853333	,127.5881729	,95.7382355	,68.9911575	,56.2566071	,42.5563049	,30.2655277	,19.7380409	,11.0200577	,2.8593483	,-4.2268257	,-10.8335752	,-16.6627121	,-21.2463684	,-25.8863525	,-32.4305267	,-37.2402802	,-42.9010849	,-50.8980331	,-52.2733765	,-53.2602692	,-55.1935806	,-58.0393410	,-61.4989433	,-64.6643295	,-67.3420868	,-69.4328156	,-72.0126877	,-73.4069214	,-74.9582977	,-76.3292007	,-77.3896790	,-78.4568634	,-79.9731140	,-81.3090286	,-83.6853027	,-86.6119919	,-89.5847549	,
151.0927124	,107.4140472	,129.9604645	,163.3302612	,206.5895691	,283.4190063	,373.8108826	,685.8442383	,18.0769234	,450.7826538	,312.9377747	,236.5630188	,173.4238739	,133.0733643	,100.5556793	,85.4827423	,69.4326630	,55.4572639	,43.4299278	,33.5629234	,24.4077892	,16.4963245	,9.1780281	,2.7603455	,-2.2623062	,-7.3356152	,-14.4564581	,-19.6722164	,-25.7799397	,-34.3732681	,-35.8734093	,-36.9599228	,-39.0487862	,-42.1307564	,-45.8269043	,-49.2139435	,-52.0688515	,-54.3158569	,-57.0478363	,-58.5351868	,-60.1791191	,-61.6411819	,-62.7649803	,-63.8941116	,-65.5020447	,-66.9152756	,-69.4237061	,-72.5059052	,-75.6324997	,
140.4471893	,83.5202332	,99.6311188	,122.3227921	,149.1559296	,188.6188660	,224.8867798	,295.9803467	,422.4955444	,1.4326568	,614.8323364	,359.7086792	,232.3120422	,172.6150665	,130.3008881	,111.4495163	,92.0562057	,75.7015915	,61.8749847	,50.7508812	,40.5920639	,31.9138813	,23.9977913	,17.1351662	,11.8120422	,6.4657803	,-0.9733076	,-6.3829203	,-12.6660404	,-21.4272156	,-23.0068588	,-24.1582775	,-26.3174515	,-29.4784603	,-33.2138634	,-36.6357651	,-39.5074463	,-41.7737579	,-44.5009346	,-45.9986839	,-47.6388321	,-49.1016998	,-50.2201233	,-51.3416138	,-52.9369507	,-54.3345337	,-56.8042603	,-59.8327522	,-62.9004631	,
144.1827393	,79.0549622	,93.5183258	,113.3683929	,136.2498474	,167.8715515	,195.2872925	,242.3448639	,310.2981873	,634.6306152	,24.6812420	,680.4695435	,323.7485962	,225.4001160	,167.4768829	,142.8551941	,118.3810120	,98.2811890	,81.5884399	,68.3757858	,56.4667130	,46.3916435	,37.3022423	,29.4940224	,23.4774628	,17.4611359	,9.1445894	,3.1317918	,-3.8086700	,-13.4269714	,-15.2012634	,-16.5005035	,-18.8936157	,-22.3764172	,-26.4499092	,-30.1788406	,-33.2994919	,-35.7652893	,-38.7129059	,-40.3391495	,-42.1099625	,-43.6940231	,-44.8992615	,-46.1054764	,-47.8215332	,-49.3204079	,-51.9623718	,-55.1979675	,-58.4678192	,
127.8099060	,63.4422684	,74.5846558	,89.5768814	,106.4866562	,128.8935394	,147.5756836	,177.1238098	,214.9165039	,335.9544678	,604.2459106	,24.9829006	,478.9916077	,267.6998596	,189.0848694	,158.8832092	,130.6399994	,108.3662338	,90.3673553	,76.4452591	,64.1134949	,53.8239326	,44.6733284	,36.8995285	,30.9560242	,25.0433617	,16.9308853	,11.1079664	,4.4323273	,-4.7505035	,-6.4880142	,-7.7637205	,-10.0712204	,-13.4036245	,-17.2610226	,-20.7892609	,-23.7320938	,-26.0518188	,-28.8233089	,-30.3552322	,-32.0144043	,-33.5009499	,-34.6266441	,-35.7516747	,-37.3505020	,-38.7443771	,-41.1939850	,-44.1874962	,-47.2105446	,
