74.0000,0.0000,0.0000,
72.5000,0.0000,-1.1250,11.9133,
71.0000,0.0000,-2.2500,11.3238,
69.5000,0.0000,-3.3750,10.3685,
68.0000,0.0000,-4.5000,10.6858,
66.5000,0.0000,-5.6250,10.3176,
65.0000,0.0000,-6.7500,9.2333,
63.5000,0.0000,-7.8750,8.9869,
62.0000,0.0000,-9.0000,9.6391,
60.5000,0.0000,-10.1250,9.7966,
59.0000,0.0000,-11.2500,8.5982,
57.5000,0.0000,-12.3750,9.0865,
56.0000,0.0000,-13.5000,9.3192,
54.5000,0.0000,-14.6250,9.3583,
53.0000,0.0000,-15.7500,9.1509,
51.5000,0.0000,-16.8750,8.8725,
50.0000,0.0000,-18.0000,5.5760,
48.5000,0.0000,-19.1250,5.1713,
47.0000,0.0000,-20.2500,4.5527,
45.5000,0.0000,-21.3750,3.9601,
44.0000,0.0000,-22.5000,2.3824,
42.5000,0.0000,-23.6250,1.5649,
41.0000,0.0000,-24.7500,1.3236,
39.5000,0.0000,-25.8750,0.0106,
72.5000,0.0000,0.0000,
71.0000,0.0000,-1.1250,10.2075,
69.5000,0.0000,-2.2500,8.5858,
68.0000,0.0000,-3.3750,9.1220,
66.5000,0.0000,-4.5000,8.1395,
65.0000,0.0000,-5.6250,7.6995,
63.5000,0.0000,-6.7500,7.5573,
62.0000,0.0000,-7.8750,7.9584,
60.5000,0.0000,-9.0000,8.0040,
59.0000,0.0000,-10.1250,7.0434,
57.5000,0.0000,-11.2500,7.3910,
56.0000,0.0000,-12.3750,7.3199,
54.5000,0.0000,-13.5000,6.7676,
53.0000,0.0000,-14.6250,6.8157,
51.5000,0.0000,-15.7500,6.3620,
50.0000,0.0000,-16.8750,5.6442,
48.5000,0.0000,-18.0000,3.8798,
47.0000,0.0000,-19.1250,3.7902,
45.5000,0.0000,-20.2500,3.7866,
44.0000,0.0000,-21.3750,3.2384,
42.5000,0.0000,-22.5000,1.6320,
41.0000,0.0000,-23.6250,0.2042,
39.5000,0.0000,-24.7500,0.3558,
38.0000,0.0000,-25.8750,1.3107,
71.0000,0.0000,0.0000,
72.5000,0.0000,-1.1250,6.2204,
69.5000,0.0000,-1.1250,14.2999,
68.0000,0.0000,-2.2500,11.8539,
66.5000,0.0000,-3.3750,10.3627,
65.0000,0.0000,-4.5000,9.9101,
63.5000,0.0000,-5.6250,9.2541,
62.0000,0.0000,-6.7500,9.8300,
60.5000,0.0000,-7.8750,10.1853,
59.0000,0.0000,-9.0000,9.0654,
57.5000,0.0000,-10.1250,9.5531,
56.0000,0.0000,-11.2500,9.8374,
54.5000,0.0000,-12.3750,9.7414,
53.0000,0.0000,-13.5000,10.1728,
51.5000,0.0000,-14.6250,9.3581,
50.0000,0.0000,-15.7500,9.4047,
48.5000,0.0000,-16.8750,6.4078,
47.0000,0.0000,-18.0000,6.0160,
45.5000,0.0000,-19.1250,5.5015,
44.0000,0.0000,-20.2500,4.9650,
42.5000,0.0000,-21.3750,3.0968,
41.0000,0.0000,-22.5000,2.7224,
39.5000,0.0000,-23.6250,1.8550,
38.0000,0.0000,-24.7500,0.8254,
69.5000,0.0000,0.0000,
71.0000,0.0000,-1.1250,12.5074,
68.0000,0.0000,-1.1250,11.1754,
66.5000,0.0000,-2.2500,9.8875,
65.0000,0.0000,-3.3750,8.6230,
63.5000,0.0000,-4.5000,8.7087,
62.0000,0.0000,-5.6250,9.3450,
60.5000,0.0000,-6.7500,9.4992,
59.0000,0.0000,-7.8750,8.3851,
57.5000,0.0000,-9.0000,8.9292,
56.0000,0.0000,-10.1250,9.1971,
54.5000,0.0000,-11.2500,8.9948,
53.0000,0.0000,-12.3750,8.9823,
51.5000,0.0000,-13.5000,8.8604,
50.0000,0.0000,-14.6250,8.3607,
48.5000,0.0000,-15.7500,7.6595,
47.0000,0.0000,-16.8750,6.3687,
45.5000,0.0000,-18.0000,6.3661,
44.0000,0.0000,-19.1250,6.2552,
42.5000,0.0000,-20.2500,5.3447,
41.0000,0.0000,-21.3750,4.2660,
39.5000,0.0000,-22.5000,2.8702,
38.0000,0.0000,-23.6250,2.7027,
36.5000,0.0000,-24.7500,1.9330,
68.0000,0.0000,0.0000,
69.5000,0.0000,-1.1250,7.5617,
71.0000,0.0000,-2.2500,8.9009,
66.5000,0.0000,-1.1250,11.4666,
65.0000,0.0000,-2.2500,9.6610,
63.5000,0.0000,-3.3750,10.1517,
62.0000,0.0000,-4.5000,10.4536,
60.5000,0.0000,-5.6250,10.5103,
59.0000,0.0000,-6.7500,9.4039,
57.5000,0.0000,-7.8750,10.2976,
56.0000,0.0000,-9.0000,10.4810,
54.5000,0.0000,-10.1250,10.4520,
53.0000,0.0000,-11.2500,10.8510,
51.5000,0.0000,-12.3750,10.4585,
50.0000,0.0000,-13.5000,10.1846,
48.5000,0.0000,-14.6250,9.8287,
47.0000,0.0000,-15.7500,8.5499,
45.5000,0.0000,-16.8750,8.4597,
44.0000,0.0000,-18.0000,8.0240,
42.5000,0.0000,-19.1250,7.3388,
41.0000,0.0000,-20.2500,5.8871,
39.5000,0.0000,-21.3750,5.3466,
38.0000,0.0000,-22.5000,5.1053,
36.5000,0.0000,-23.6250,4.7699,
66.5000,0.0000,0.0000,
68.0000,0.0000,-1.1250,9.1156,
69.5000,0.0000,-2.2500,8.2064,
65.0000,0.0000,-1.1250,12.0497,
63.5000,0.0000,-2.2500,10.5399,
62.0000,0.0000,-3.3750,11.6645,
60.5000,0.0000,-4.5000,11.5121,
59.0000,0.0000,-5.6250,9.9352,
57.5000,0.0000,-6.7500,10.8284,
56.0000,0.0000,-7.8750,11.0988,
54.5000,0.0000,-9.0000,11.0606,
53.0000,0.0000,-10.1250,11.5907,
51.5000,0.0000,-11.2500,10.7556,
50.0000,0.0000,-12.3750,11.4658,
48.5000,0.0000,-13.5000,10.6198,
47.0000,0.0000,-14.6250,9.7362,
45.5000,0.0000,-15.7500,8.6066,
44.0000,0.0000,-16.8750,8.3051,
42.5000,0.0000,-18.0000,7.6658,
41.0000,0.0000,-19.1250,7.0218,
39.5000,0.0000,-20.2500,5.6196,
38.0000,0.0000,-21.3750,5.2146,
36.5000,0.0000,-22.5000,4.9593,
35.0000,0.0000,-23.6250,3.5366,
65.0000,0.0000,0.0000,
66.5000,0.0000,-1.1250,9.7542,
68.0000,0.0000,-2.2500,8.1008,
69.5000,0.0000,-3.3750,7.3913,
63.5000,0.0000,-1.1250,11.9434,
62.0000,0.0000,-2.2500,13.1197,
60.5000,0.0000,-3.3750,12.0899,
59.0000,0.0000,-4.5000,9.8995,
57.5000,0.0000,-5.6250,11.1796,
56.0000,0.0000,-6.7500,11.5956,
54.5000,0.0000,-7.8750,11.2653,
53.0000,0.0000,-9.0000,11.9418,
51.5000,0.0000,-10.1250,11.4277,
50.0000,0.0000,-11.2500,11.6211,
48.5000,0.0000,-12.3750,11.3298,
47.0000,0.0000,-13.5000,10.8895,
45.5000,0.0000,-14.6250,9.5299,
44.0000,0.0000,-15.7500,9.1518,
42.5000,0.0000,-16.8750,8.2895,
41.0000,0.0000,-18.0000,7.7701,
39.5000,0.0000,-19.1250,5.8772,
38.0000,0.0000,-20.2500,5.9325,
36.5000,0.0000,-21.3750,5.7599,
35.0000,0.0000,-22.5000,3.9457,
63.5000,0.0000,0.0000,
65.0000,0.0000,-1.1250,9.8859,
66.5000,0.0000,-2.2500,9.6974,
68.0000,0.0000,-3.3750,9.3896,
62.0000,0.0000,-1.1250,14.2791,
60.5000,0.0000,-2.2500,12.5085,
59.0000,0.0000,-3.3750,9.8843,
57.5000,0.0000,-4.5000,10.8974,
56.0000,0.0000,-5.6250,11.2168,
54.5000,0.0000,-6.7500,10.9963,
53.0000,0.0000,-7.8750,11.8207,
51.5000,0.0000,-9.0000,11.4512,
50.0000,0.0000,-10.1250,11.1662,
48.5000,0.0000,-11.2500,11.6072,
47.0000,0.0000,-12.3750,10.8959,
45.5000,0.0000,-13.5000,9.8088,
44.0000,0.0000,-14.6250,7.5631,
42.5000,0.0000,-15.7500,7.0370,
41.0000,0.0000,-16.8750,6.4453,
39.5000,0.0000,-18.0000,5.2570,
38.0000,0.0000,-19.1250,4.1656,
36.5000,0.0000,-20.2500,4.1308,
35.0000,0.0000,-21.3750,2.6439,
33.5000,0.0000,-22.5000,1.5914,
62.0000,0.0000,0.0000,
63.5000,0.0000,-1.1250,10.7056,
65.0000,0.0000,-2.2500,10.2219,
66.5000,0.0000,-3.3750,9.9609,
68.0000,0.0000,-4.5000,9.6779,
60.5000,0.0000,-1.1250,14.5869,
59.0000,0.0000,-2.2500,9.5547,
57.5000,0.0000,-3.3750,10.5341,
56.0000,0.0000,-4.5000,11.1928,
54.5000,0.0000,-5.6250,11.1028,
53.0000,0.0000,-6.7500,11.8290,
51.5000,0.0000,-7.8750,11.5071,
50.0000,0.0000,-9.0000,11.6630,
48.5000,0.0000,-10.1250,12.0137,
47.0000,0.0000,-11.2500,11.5643,
45.5000,0.0000,-12.3750,11.4358,
44.0000,0.0000,-13.5000,10.1817,
42.5000,0.0000,-14.6250,9.5696,
41.0000,0.0000,-15.7500,8.8334,
39.5000,0.0000,-16.8750,7.9425,
38.0000,0.0000,-18.0000,6.6487,
36.5000,0.0000,-19.1250,7.1161,
35.0000,0.0000,-20.2500,5.6760,
