电流	  ,电压1	  ,电压2	  ,电压3	  ,电压4	  ,电压5	  ,电压6	  ,电压7	  ,电压8	  ,电压9	  ,电压10	  ,电压11	  ,电压12	  ,电压13	  ,电压14	  ,电压15	  ,电压16	  ,电压17	  ,电压18	  ,电压19	  ,电压20	  ,电压21	  ,电压22	  ,电压23	  ,电压24	  ,电压25	  ,电压26	  ,电压27	  ,电压28	  ,电压29	  ,电压30	  ,电压31	  ,电压32	  ,电压33	  ,电压34	  ,电压35	  ,电压36	  ,电压37	  ,电压38	  ,电压39	  ,电压40	  ,电压41	  ,电压42	  ,电压43	  ,电压44	  ,电压45	  ,电压46	  ,电压47	  ,电压48	  ,
59.5042305	,-31.4880600	,63.7226257	,32.9788513	,24.3752441	,17.6474457	,14.2289276	,12.0920563	,9.5160675	,7.8129272	,6.9535828	,5.8769531	,5.0935211	,3.4378967	,3.6119995	,3.2463684	,2.7342377	,2.4095612	,2.1110687	,1.9531860	,1.8046265	,1.3680115	,1.2570801	,1.2326050	,1.2200928	,1.2175598	,1.0168762	,0.6629791	,0.7942810	,0.7027893	,0.5780640	,0.6206207	,0.5186462	,0.4201508	,0.4065247	,0.3241882	,0.1876221	,0.5665894	,0.0979919	,0.0575256	,-0.0090332	,-0.0117493	,-0.0631256	,-0.1161499	,-0.1684570	,-0.1757202	,-0.1537323	,-0.2271118	,-0.2149963	,
80.8581543	,82.9810486	,-21.2180710	,117.1249847	,59.5136108	,35.3936462	,25.9754639	,21.5945282	,16.6939087	,13.5782471	,12.0329742	,10.0745850	,8.7451782	,5.9573669	,6.2879944	,5.6783447	,4.8079071	,4.2622681	,3.7641602	,3.4857788	,3.2930908	,2.5383301	,2.3704834	,2.3539429	,2.3647156	,2.3796082	,2.0242767	,1.3387299	,1.6590576	,1.4548035	,1.2941589	,1.3710938	,1.2458496	,1.1206055	,1.1726379	,1.0483704	,0.8512573	,1.0063477	,0.6898193	,0.6572571	,0.5723267	,0.4971008	,0.4201660	,0.2962646	,0.2538757	,0.2235107	,0.2087097	,0.1890869	,0.1412201	,
91.8971558	,49.6881409	,130.1644592	,-10.7522736	,139.8738403	,57.7213898	,36.3975830	,29.1367645	,21.9627991	,17.6325684	,15.4489746	,12.8572693	,11.0464783	,7.4889526	,7.8692017	,7.0758362	,5.9751434	,5.3470764	,4.5716705	,4.2805481	,3.9737244	,3.1618958	,2.9144287	,2.9713440	,2.8801575	,2.7889709	,2.3478699	,1.5033875	,1.9088440	,1.6165771	,1.4717712	,1.5560608	,1.4137573	,1.3312378	,1.4090576	,1.2620239	,0.9942932	,0.8927002	,0.8327332	,0.7997437	,0.7100220	,0.6755066	,0.5997314	,0.4544678	,0.4035950	,0.3625793	,0.3366699	,0.3375092	,0.2695313	,
69.2996979	,27.7581787	,49.9044800	,101.5009155	,-28.6918488	,93.0355835	,37.7326050	,27.9856873	,20.3190613	,16.0420227	,13.8610840	,11.4208984	,9.7520752	,6.5683594	,6.8723755	,6.1581726	,5.1849213	,4.5834808	,4.0349731	,3.7257690	,3.5105896	,2.7064819	,2.5272827	,2.5074463	,2.5165863	,2.5294952	,2.1526947	,1.4326172	,1.7725220	,1.5453186	,1.3960876	,1.4571381	,1.3475037	,1.2378693	,1.2904510	,1.1532440	,0.9576874	,0.7595673	,0.7790375	,0.7386017	,0.6530914	,0.5675812	,0.4952545	,0.3625031	,0.3045807	,0.2708893	,0.2560272	,0.2207184	,0.1739502	,
77.8083954	,22.6280518	,33.3331299	,47.4169922	,99.6950073	,-19.1352386	,69.3218689	,40.9496155	,27.3363342	,20.8826904	,17.6266479	,14.2332764	,11.9983215	,8.0105896	,8.2945557	,7.3709106	,6.1577606	,5.4041901	,4.7283783	,4.3335266	,4.0650635	,3.1209106	,2.8962402	,2.8609619	,2.8531799	,2.8453979	,2.4130402	,1.5975342	,1.9647522	,1.6849976	,1.5210419	,1.6378021	,1.4457397	,1.2391510	,1.2809143	,1.1238098	,0.8440857	,0.7877197	,0.6916199	,0.6438904	,0.5413513	,0.4951172	,0.4091644	,0.2637024	,0.1981812	,0.1522827	,0.1540680	,0.0984192	,0.0630798	,
63.0042458	,15.0628662	,20.0819702	,24.5134888	,32.8609009	,51.9183350	,-13.2226868	,73.0329895	,35.1232758	,24.7786255	,19.9208221	,15.6213684	,12.9917145	,8.5724182	,8.8386536	,7.8356323	,6.5427704	,5.7532959	,5.0614014	,4.6636963	,4.4089355	,3.4048157	,3.1910706	,3.1847534	,3.2177582	,3.2445526	,2.7792511	,1.8481140	,2.3319092	,2.0665283	,1.8873596	,2.0193634	,1.8790131	,1.7386627	,1.8798676	,1.7503815	,1.5815582	,1.1409149	,1.3349762	,1.3301239	,1.2577667	,1.1854095	,1.1286316	,0.9521027	,0.9342804	,0.9090424	,0.8060608	,0.8666229	,0.7473602	,
88.6453934	,18.3850403	,23.7941895	,28.1045532	,35.3226624	,45.5990601	,99.4493408	,-21.7402039	,90.5090179	,51.1239929	,37.6364136	,28.0905457	,22.7917786	,14.8060608	,15.0698547	,13.2230835	,10.9520111	,9.5754700	,8.3920593	,7.6553345	,7.2565460	,5.5901794	,5.2290649	,5.2013245	,5.2508545	,5.2953491	,4.5265961	,3.0140991	,3.7983704	,3.3076477	,3.0678711	,3.2830505	,3.0561676	,2.8292847	,3.0485992	,2.8328094	,2.4692535	,2.1270905	,2.1582489	,2.1507416	,2.0259247	,1.9011078	,1.8021393	,1.5144196	,1.4788971	,1.4068146	,1.2691498	,1.3548584	,1.1706543	,
65.9690399	,10.7284546	,13.6192932	,15.7061920	,18.9989929	,22.6342468	,35.7242126	,63.0136108	,-19.1185455	,83.8737183	,43.3826294	,28.4495850	,21.8840027	,13.7611694	,13.6625061	,11.7791138	,9.6127625	,8.3797607	,7.1379852	,6.5395813	,6.0550232	,4.7256470	,4.3578491	,4.3902588	,4.3037109	,4.2171631	,3.5753174	,2.3291626	,2.9517517	,2.5338440	,2.3412628	,2.5048370	,2.3090057	,2.1167603	,2.2809448	,2.1022339	,1.7574463	,1.5587769	,1.5406494	,1.5281677	,1.4221191	,1.3555603	,1.2673187	,1.0368652	,0.9981689	,0.9584961	,0.8419189	,0.8834076	,0.7598419	,
59.2097130	,7.8729858	,9.8802948	,11.2794800	,13.4248047	,15.5468445	,22.6814270	,32.2720642	,70.8369751	,-30.1032257	,68.2723389	,33.9219055	,24.0145721	,14.4981995	,14.0446777	,11.8990784	,9.5771332	,8.2058563	,7.0859985	,6.3754578	,5.9400330	,4.5102234	,4.1708679	,4.1119080	,4.1191559	,4.1293945	,3.5167236	,2.3345032	,2.9106750	,2.5195923	,2.3196106	,2.4658203	,2.3002319	,2.1346436	,2.2830658	,2.1182404	,1.9241486	,1.5423431	,1.5943756	,1.5740814	,1.4789276	,1.3837738	,1.2771301	,1.0653839	,1.0342560	,0.9908600	,0.8882599	,0.9401093	,0.8125305	,
