145.0000,0.0000,-93.7500,5.0596,
150.0000,0.0000,-97.5000,6.4059,
155.0000,0.0000,-101.2500,8.5028,
160.0000,0.0000,-105.0000,10.7067,
165.0000,0.0000,-108.7500,9.6832,
25.0000,0.0000,0.0000,
20.0000,0.0000,-3.7500,18.0283,
15.0000,0.0000,-7.5000,10.0240,
30.0000,0.0000,-3.7500,23.3325,
35.0000,0.0000,-7.5000,14.4490,
40.0000,0.0000,-11.2500,9.8705,
50.0000,0.0000,-18.7500,8.0858,
55.0000,0.0000,-22.5000,6.6664,
60.0000,0.0000,-26.2500,6.0774,
70.0000,0.0000,-33.7500,5.3562,
75.0000,0.0000,-37.5000,4.6221,
80.0000,0.0000,-41.2500,4.6348,
85.0000,0.0000,-45.0000,5.0628,
90.0000,0.0000,-48.7500,5.1547,
95.0000,0.0000,-52.5000,4.8634,
100.0000,0.0000,-56.2500,4.5434,
105.0000,0.0000,-60.0000,4.8870,
110.0000,0.0000,-63.7500,5.3085,
115.0000,0.0000,-67.5000,5.4116,
120.0000,0.0000,-71.2500,4.9037,
125.0000,0.0000,-75.0000,6.0867,
130.0000,0.0000,-78.7500,5.5365,
135.0000,0.0000,-82.5000,5.2362,
140.0000,0.0000,-86.2500,4.4900,
145.0000,0.0000,-90.0000,5.2188,
150.0000,0.0000,-93.7500,5.7472,
155.0000,0.0000,-97.5000,6.8305,
160.0000,0.0000,-101.2500,9.6531,
165.0000,0.0000,-105.0000,9.9175,
30.0000,0.0000,0.0000,
25.0000,0.0000,-3.7500,19.1231,
20.0000,0.0000,-7.5000,12.1648,
15.0000,0.0000,-11.2500,7.9289,
35.0000,0.0000,-3.7500,23.8396,
40.0000,0.0000,-7.5000,14.8957,
45.0000,0.0000,-11.2500,11.2993,
50.0000,0.0000,-15.0000,10.4125,
55.0000,0.0000,-18.7500,8.7084,
60.0000,0.0000,-22.5000,7.8916,
70.0000,0.0000,-30.0000,6.5169,
75.0000,0.0000,-33.7500,5.1202,
80.0000,0.0000,-37.5000,5.0539,
85.0000,0.0000,-41.2500,4.9591,
90.0000,0.0000,-45.0000,5.3078,
95.0000,0.0000,-48.7500,4.9111,
100.0000,0.0000,-52.5000,5.2901,
105.0000,0.0000,-56.2500,4.6653,
110.0000,0.0000,-60.0000,4.7308,
115.0000,0.0000,-63.7500,5.1334,
120.0000,0.0000,-67.5000,4.8086,
125.0000,0.0000,-71.2500,5.4825,
130.0000,0.0000,-75.0000,5.2751,
135.0000,0.0000,-78.7500,5.3374,
140.0000,0.0000,-82.5000,5.1161,
145.0000,0.0000,-86.2500,4.2633,
150.0000,0.0000,-90.0000,4.8134,
155.0000,0.0000,-93.7500,6.3169,
160.0000,0.0000,-97.5000,9.4100,
165.0000,0.0000,-101.2500,9.8388,
170.0000,0.0000,-105.0000,9.8385,
35.0000,0.0000,0.0000,
30.0000,0.0000,-3.7500,21.3614,
25.0000,0.0000,-7.5000,11.8430,
20.0000,0.0000,-11.2500,9.1546,
40.0000,0.0000,-3.7500,25.1081,
45.0000,0.0000,-7.5000,16.4295,
55.0000,0.0000,-15.0000,11.0223,
60.0000,0.0000,-18.7500,9.8893,
70.0000,0.0000,-26.2500,7.7590,
75.0000,0.0000,-30.0000,5.7471,
80.0000,0.0000,-33.7500,5.3728,
85.0000,0.0000,-37.5000,5.2473,
90.0000,0.0000,-41.2500,5.3991,
95.0000,0.0000,-45.0000,5.4189,
100.0000,0.0000,-48.7500,5.1228,
105.0000,0.0000,-52.5000,4.6100,
