X ,Y ,Z ,AO ,Res ,A ,B ,M ,N 
    3.5000,    0.0000,   -1.1250,    2.2500, 36.896160,     3, 10000,     2,     1,
    5.0000,    0.0000,   -1.1250,    2.2500, 52.789257,     4, 10000,     3,     2,
    6.5000,    0.0000,   -1.1250,    2.2500, 76.601692,     5, 10000,     4,     3,
    5.0000,    0.0000,   -2.2500,    4.5000, 25.729719,     5, 10000,     3,     1,
    8.0000,    0.0000,   -1.1250,    2.2500, 46.622387,     6, 10000,     5,     4,
    6.5000,    0.0000,   -2.2500,    4.5000, 22.994095,     6, 10000,     4,     2,
    9.5000,    0.0000,   -1.1250,    2.2500, 49.996777,     7, 10000,     6,     5,
    8.0000,    0.0000,   -2.2500,    4.5000, 19.169935,     7, 10000,     5,     3,
    6.5000,    0.0000,   -3.3750,    6.7500,  9.330465,     7, 10000,     4,     1,
   11.0000,    0.0000,   -1.1250,    2.2500, 63.760555,     8, 10000,     7,     6,
    9.5000,    0.0000,   -2.2500,    4.5000, 26.421555,     8, 10000,     6,     4,
    8.0000,    0.0000,   -3.3750,    6.7500, 10.293683,     8, 10000,     5,     2,
   12.5000,    0.0000,   -1.1250,    2.2500, 75.871681,     9, 10000,     8,     7,
   11.0000,    0.0000,   -2.2500,    4.5000, 26.593987,     9, 10000,     7,     5,
    9.5000,    0.0000,   -3.3750,    6.7500, 11.341785,     9, 10000,     6,     3,
    8.0000,    0.0000,   -4.5000,    9.0000,  5.775878,     9, 10000,     5,     1,
   14.0000,    0.0000,   -1.1250,    2.2500, 13.451887,    10, 10000,     9,     8,
   12.5000,    0.0000,   -2.2500,    4.5000, 14.509566,    10, 10000,     8,     6,
   11.0000,    0.0000,   -3.3750,    6.7500, 10.954436,    10, 10000,     7,     4,
    9.5000,    0.0000,   -4.5000,    9.0000,  8.962918,    10, 10000,     6,     2,
   15.5000,    0.0000,   -1.1250,    2.2500, 12.503893,    11, 10000,    10,     9,
   14.0000,    0.0000,   -2.2500,    4.5000,  6.835497,    11, 10000,     9,     7,
   12.5000,    0.0000,   -3.3750,    6.7500,  8.898757,    11, 10000,     8,     5,
   11.0000,    0.0000,   -4.5000,    9.0000,  7.646463,    11, 10000,     7,     3,
    9.5000,    0.0000,   -5.6250,   11.2500,  6.971756,    11, 10000,     6,     1,
   17.0000,    0.0000,   -1.1250,    2.2500,  6.818618,    12, 10000,    11,    10,
   15.5000,    0.0000,   -2.2500,    4.5000,  9.989806,    12, 10000,    10,     8,
   14.0000,    0.0000,   -3.3750,    6.7500,  6.225133,    12, 10000,     9,     6,
   12.5000,    0.0000,   -4.5000,    9.0000,  9.339615,    12, 10000,     8,     4,
   11.0000,    0.0000,   -5.6250,   11.2500,  8.382505,    12, 10000,     7,     2,
